date,base,quote,rate
2025-06-22,GBP,USD,1.34418
2025-06-23,GBP,USD,1.3454
2025-06-24,GBP,USD,1.35963
2025-06-25,GBP,USD,1.36291
2025-06-26,GBP,USD,1.3724
2025-06-27,GBP,USD,1.37239
2025-06-28,GBP,USD,1.37173
2025-06-29,GBP,USD,1.37172
2025-06-30,GBP,USD,1.3713
2025-07-01,GBP,USD,1.37422
2025-07-02,GBP,USD,1.36763
2025-07-03,GBP,USD,1.36466
2025-07-04,GBP,USD,1.36522
2025-07-05,GBP,USD,1.36375
2025-07-06,GBP,USD,1.3639
2025-07-07,GBP,USD,1.36156
2025-07-08,GBP,USD,1.35988
2025-07-09,GBP,USD,1.35874
2025-07-10,GBP,USD,1.35872
2025-07-11,GBP,USD,1.35235
2025-07-12,GBP,USD,1.34871
2025-07-13,GBP,USD,1.3487
2025-07-14,GBP,USD,1.34609
2025-07-15,GBP,USD,1.34168
2025-07-16,GBP,USD,1.34029
2025-07-17,GBP,USD,1.34025
2025-07-18,GBP,USD,1.34293
2025-07-19,GBP,USD,1.34053
2025-07-20,GBP,USD,1.34061
2025-07-21,GBP,USD,1.34589
2025-07-22,GBP,USD,1.34964
2025-07-23,GBP,USD,1.3548
2025-07-24,GBP,USD,1.3543
2025-07-25,GBP,USD,1.34568
2025-07-26,GBP,USD,1.34344
2025-07-27,GBP,USD,1.34344
2025-07-28,GBP,USD,1.34034
2025-07-29,GBP,USD,1.33431
2025-07-30,GBP,USD,1.33163
2025-07-31,GBP,USD,1.32319
2025-08-01,GBP,USD,1.32229
2025-08-02,GBP,USD,1.32771
2025-08-03,GBP,USD,1.32772
2025-08-04,GBP,USD,1.32847
2025-08-05,GBP,USD,1.32884
2025-08-06,GBP,USD,1.33243
2025-08-07,GBP,USD,1.33971
2025-08-08,GBP,USD,1.3441
2025-08-09,GBP,USD,1.34462
2025-08-10,GBP,USD,1.34456
2025-08-11,GBP,USD,1.34395
2025-08-12,GBP,USD,1.3469
2025-08-13,GBP,USD,1.35491
