date,base,quote,rate
2025-06-22,HKD,INR,11.0186
2025-06-23,HKD,INR,11.0349
2025-06-24,HKD,INR,10.9602
2025-06-25,HKD,INR,10.954
2025-06-26,HKD,INR,10.9213
2025-06-27,HKD,INR,10.8918
2025-06-28,HKD,INR,10.8791
2025-06-29,HKD,INR,10.8802
2025-06-30,HKD,INR,10.9075
2025-07-01,HKD,INR,10.9027
2025-07-02,HKD,INR,10.9085
2025-07-03,HKD,INR,10.8837
2025-07-04,HKD,INR,10.8763
2025-07-05,HKD,INR,10.8248
2025-07-06,HKD,INR,10.8258
2025-07-07,HKD,INR,10.9282
2025-07-08,HKD,INR,10.9204
2025-07-09,HKD,INR,10.9206
2025-07-10,HKD,INR,10.9144
2025-07-11,HKD,INR,10.9311
2025-07-12,HKD,INR,10.933
2025-07-13,HKD,INR,10.933
2025-07-14,HKD,INR,10.9418
2025-07-15,HKD,INR,10.9428
2025-07-16,HKD,INR,10.9442
2025-07-17,HKD,INR,10.9555
2025-07-18,HKD,INR,10.9731
2025-07-19,HKD,INR,10.9765
2025-07-20,HKD,INR,10.9765
2025-07-21,HKD,INR,10.9855
2025-07-22,HKD,INR,10.9962
2025-07-23,HKD,INR,11.0029
2025-07-24,HKD,INR,11.0044
2025-07-25,HKD,INR,11.0202
2025-07-26,HKD,INR,11.0203
2025-07-27,HKD,INR,11.0203
2025-07-28,HKD,INR,11.0361
2025-07-29,HKD,INR,11.0721
2025-07-30,HKD,INR,11.1376
2025-07-31,HKD,INR,11.1554
2025-08-01,HKD,INR,11.1262
2025-08-02,HKD,INR,11.106
2025-08-03,HKD,INR,11.1062
2025-08-04,HKD,INR,11.1619
2025-08-05,HKD,INR,11.1861
2025-08-06,HKD,INR,11.1745
2025-08-07,HKD,INR,11.1549
2025-08-08,HKD,INR,11.1575
2025-08-09,HKD,INR,11.1671
2025-08-10,HKD,INR,11.1653
2025-08-11,HKD,INR,11.1615
2025-08-12,HKD,INR,11.1636
2025-08-13,HKD,INR,11.1481
2025-08-14,HKD,INR,11.1686
2025-08-15,HKD,INR,11.1847
2025-08-16,HKD,INR,11.1791
2025-08-17,HKD,INR,11.1794
2025-08-18,HKD,INR,11.17
2025-08-19,HKD,INR,11.166
2025-08-20,HKD,INR,11.1451
2025-08-21,HKD,INR,11.1581
2025-08-22,HKD,INR,11.1791
2025-08-23,HKD,INR,11.1727
2025-08-24,HKD,INR,11.1726
2025-08-25,HKD,INR,11.2031
2025-08-26,HKD,INR,11.236
2025-08-27,HKD,INR,11.2668
2025-08-28,HKD,INR,11.2399
2025-08-29,HKD,INR,11.2936
2025-08-30,HKD,INR,11.3028
2025-08-31,HKD,INR,11.3038
2025-09-01,HKD,INR,11.3026
2025-09-02,HKD,INR,11.2823
2025-09-03,HKD,INR,11.2846
2025-09-04,HKD,INR,11.3005
2025-09-05,HKD,INR,11.3056
2025-09-06,HKD,INR,11.3074
2025-09-07,HKD,INR,11.3073
2025-09-08,HKD,INR,11.2935
2025-09-09,HKD,INR,11.3158
2025-09-10,HKD,INR,11.31
2025-09-11,HKD,INR,11.3333
2025-09-12,HKD,INR,11.3441
2025-09-13,HKD,INR,11.3444
2025-09-14,HKD,INR,11.3441
2025-09-15,HKD,INR,11.3366
2025-09-16,HKD,INR,11.312
2025-09-17,HKD,INR,11.2911
2025-09-18,HKD,INR,11.3282
2025-09-19,HKD,INR,11.3359
2025-09-20,HKD,INR,11.3309
2025-09-21,HKD,INR,11.3309
2025-09-22,HKD,INR,11.3574
2025-09-23,HKD,INR,11.4057
2025-09-24,HKD,INR,11.4107
2025-09-25,HKD,INR,11.4035
2025-09-26,HKD,INR,11.399
2025-09-27,HKD,INR,11.3955
2025-09-28,HKD,INR,11.395
2025-09-29,HKD,INR,11.3996
2025-09-30,HKD,INR,11.4112
2025-10-01,HKD,INR,11.3982
2025-10-02,HKD,INR,11.4018
2025-10-03,HKD,INR,11.4048
2025-10-04,HKD,INR,11.4027
2025-10-05,HKD,INR,11.4018
2025-10-06,HKD,INR,11.403
2025-10-07,HKD,INR,11.4012
2025-10-08,HKD,INR,11.4053
2025-10-09,HKD,INR,11.4134
2025-10-10,HKD,INR,11.3998
2025-10-11,HKD,INR,11.4029
2025-10-12,HKD,INR,11.4022
2025-10-13,HKD,INR,11.4
2025-10-14,HKD,INR,11.4158
2025-10-15,HKD,INR,11.338
2025-10-16,HKD,INR,11.309
2025-10-17,HKD,INR,11.3232
2025-10-18,HKD,INR,11.3258
2025-10-19,HKD,INR,11.3254
2025-10-20,HKD,INR,11.3149
2025-10-21,HKD,INR,11.3229
2025-10-22,HKD,INR,11.2911
2025-10-23,HKD,INR,11.301
2025-10-24,HKD,INR,11.2972
2025-10-25,HKD,INR,11.2999
2025-10-26,HKD,INR,11.3004
2025-10-27,HKD,INR,11.3442
2025-10-28,HKD,INR,11.3595
2025-10-29,HKD,INR,11.3536
2025-10-30,HKD,INR,11.3993
2025-10-31,HKD,INR,11.4138
2025-11-01,HKD,INR,11.3915
2025-11-02,HKD,INR,11.394
2025-11-03,HKD,INR,11.4176
2025-11-04,HKD,INR,11.4071
2025-11-05,HKD,INR,11.4011
2025-11-06,HKD,INR,11.3982
2025-11-07,HKD,INR,11.4017
2025-11-08,HKD,INR,11.3951
2025-11-09,HKD,INR,11.3949
2025-11-10,HKD,INR,11.407
2025-11-11,HKD,INR,11.3919
2025-11-12,HKD,INR,11.4003
2025-11-13,HKD,INR,11.4162
2025-11-14,HKD,INR,11.4144
2025-11-15,HKD,INR,11.4053
2025-11-16,HKD,INR,11.4045
2025-11-17,HKD,INR,11.4011
2025-11-18,HKD,INR,11.3811
2025-11-19,HKD,INR,11.3622
2025-11-20,HKD,INR,11.3899
2025-11-21,HKD,INR,11.4627
2025-11-22,HKD,INR,11.5109
2025-11-23,HKD,INR,11.5098
2025-11-24,HKD,INR,11.4629
2025-11-25,HKD,INR,11.4637
2025-11-26,HKD,INR,11.4691
2025-11-27,HKD,INR,11.4805
2025-11-28,HKD,INR,11.4852
2025-11-29,HKD,INR,11.4747
2025-11-30,HKD,INR,11.4739
2025-12-01,HKD,INR,11.4972
2025-12-02,HKD,INR,11.5397
2025-12-03,HKD,INR,11.5781
2025-12-04,HKD,INR,11.5617
2025-12-05,HKD,INR,11.5518
2025-12-06,HKD,INR,11.5466
2025-12-07,HKD,INR,11.5465
2025-12-08,HKD,INR,11.5776
2025-12-09,HKD,INR,11.5567
2025-12-10,HKD,INR,11.5514
