date,base,quote,rate
2025-06-22,INR,AED,0.0423516
2025-06-23,INR,AED,0.0423685
2025-06-24,INR,AED,0.0426632
2025-06-25,INR,AED,0.0426904
2025-06-26,INR,AED,0.0428178
2025-06-27,INR,AED,0.0429278
2025-06-28,INR,AED,0.0429009
2025-06-29,INR,AED,0.0429064
2025-06-30,INR,AED,0.0428571
2025-07-01,INR,AED,0.0428859
2025-07-02,INR,AED,0.0428696
2025-07-03,INR,AED,0.0429648
2025-07-04,INR,AED,0.0429217
2025-07-05,INR,AED,0.0425633
2025-07-06,INR,AED,0.0425671
2025-07-07,INR,AED,0.0427992
2025-07-08,INR,AED,0.0428344
2025-07-09,INR,AED,0.0428281
2025-07-10,INR,AED,0.0428562
2025-07-11,INR,AED,0.042792
2025-07-12,INR,AED,0.0427873
2025-07-13,INR,AED,0.0427874
2025-07-14,INR,AED,0.0427443
2025-07-15,INR,AED,0.042743
2025-07-16,INR,AED,0.0427426
2025-07-17,INR,AED,0.0427003
2025-07-18,INR,AED,0.0426386
2025-07-19,INR,AED,0.0426314
2025-07-20,INR,AED,0.0426314
2025-07-21,INR,AED,0.0425752
2025-07-22,INR,AED,0.0425387
2025-07-23,INR,AED,0.0425155
2025-07-24,INR,AED,0.0425105
2025-07-25,INR,AED,0.0424507
2025-07-26,INR,AED,0.0424525
2025-07-27,INR,AED,0.0424525
2025-07-28,INR,AED,0.0423867
2025-07-29,INR,AED,0.0422499
2025-07-30,INR,AED,0.041978
2025-07-31,INR,AED,0.0419321
2025-08-01,INR,AED,0.0420389
2025-08-02,INR,AED,0.0420924
2025-08-03,INR,AED,0.0420874
2025-08-04,INR,AED,0.0419067
2025-08-05,INR,AED,0.0418173
2025-08-06,INR,AED,0.0418573
2025-08-07,INR,AED,0.0419351
2025-08-08,INR,AED,0.0419202
2025-08-09,INR,AED,0.0418573
2025-08-10,INR,AED,0.041859
2025-08-11,INR,AED,0.0419091
2025-08-12,INR,AED,0.041902
2025-08-13,INR,AED,0.0419601
2025-08-14,INR,AED,0.0419307
2025-08-15,INR,AED,0.0419474
2025-08-16,INR,AED,0.041967
2025-08-17,INR,AED,0.0419655
2025-08-18,INR,AED,0.0420257
2025-08-19,INR,AED,0.0421513
2025-08-20,INR,AED,0.0421794
2025-08-21,INR,AED,0.0421196
2025-08-22,INR,AED,0.0420241
2025-08-23,INR,AED,0.0420422
2025-08-24,INR,AED,0.0420403
2025-08-25,INR,AED,0.0419599
2025-08-26,INR,AED,0.041884
2025-08-27,INR,AED,0.0418616
2025-08-28,INR,AED,0.041914
2025-08-29,INR,AED,0.041708
2025-08-30,INR,AED,0.0416418
2025-08-31,INR,AED,0.0416414
2025-09-01,INR,AED,0.0416664
2025-09-02,INR,AED,0.0416984
2025-09-03,INR,AED,0.0416973
2025-09-04,INR,AED,0.0416557
2025-09-05,INR,AED,0.0416336
2025-09-06,INR,AED,0.0416361
2025-09-07,INR,AED,0.0416348
2025-09-08,INR,AED,0.041704
2025-09-09,INR,AED,0.0416577
2025-09-10,INR,AED,0.0416754
2025-09-11,INR,AED,0.0415914
2025-09-12,INR,AED,0.041588
2025-09-13,INR,AED,0.0416044
2025-09-14,INR,AED,0.0416008
2025-09-15,INR,AED,0.0416393
2025-09-16,INR,AED,0.0417167
2025-09-17,INR,AED,0.0418114
2025-09-18,INR,AED,0.0416761
2025-09-19,INR,AED,0.0416544
2025-09-20,INR,AED,0.041681
2025-09-21,INR,AED,0.0416811
2025-09-22,INR,AED,0.0416079
2025-09-23,INR,AED,0.0414066
2025-09-24,INR,AED,0.0413714
2025-09-25,INR,AED,0.0413874
2025-09-26,INR,AED,0.0413978
2025-09-27,INR,AED,0.0414046
2025-09-28,INR,AED,0.0414041
2025-09-29,INR,AED,0.0413871
2025-09-30,INR,AED,0.0413511
2025-10-01,INR,AED,0.041396
2025-10-02,INR,AED,0.0413812
2025-10-03,INR,AED,0.0413724
2025-10-04,INR,AED,0.0413869
2025-10-05,INR,AED,0.0413846
2025-10-06,INR,AED,0.0413726
2025-10-07,INR,AED,0.0413789
2025-10-08,INR,AED,0.0413657
2025-10-09,INR,AED,0.0413442
2025-10-10,INR,AED,0.0413905
2025-10-11,INR,AED,0.0413734
2025-10-12,INR,AED,0.0413683
2025-10-13,INR,AED,0.0414001
2025-10-14,INR,AED,0.0413672
2025-10-15,INR,AED,0.0416512
2025-10-16,INR,AED,0.0417756
2025-10-17,INR,AED,0.0417412
2025-10-18,INR,AED,0.041723
2025-10-19,INR,AED,0.0417231
2025-10-20,INR,AED,0.0417686
2025-10-21,INR,AED,0.0417347
2025-10-22,INR,AED,0.0418407
2025-10-23,INR,AED,0.0418051
2025-10-24,INR,AED,0.0418235
2025-10-25,INR,AED,0.041807
2025-10-26,INR,AED,0.0418068
2025-10-27,INR,AED,0.0416568
2025-10-28,INR,AED,0.0416065
2025-10-29,INR,AED,0.0415731
2025-10-30,INR,AED,0.0414484
2025-10-31,INR,AED,0.0413742
2025-11-01,INR,AED,0.0412734
2025-11-02,INR,AED,0.0412818
2025-11-03,INR,AED,0.0413716
2025-11-04,INR,AED,0.0414048
2025-11-05,INR,AED,0.0414205
2025-11-06,INR,AED,0.0414292
2025-11-07,INR,AED,0.0414049
2025-11-08,INR,AED,0.0414037
2025-11-09,INR,AED,0.0414027
2025-11-10,INR,AED,0.0413967
2025-11-11,INR,AED,0.0414631
2025-11-12,INR,AED,0.0414454
2025-11-13,INR,AED,0.04139
2025-11-14,INR,AED,0.0413894
2025-11-15,INR,AED,0.0414029
2025-11-16,INR,AED,0.0414021
