date,base,quote,rate
2025-06-22,INR,CNY,0.0828494
2025-06-23,INR,CNY,0.0828853
2025-06-24,INR,CNY,0.0833635
2025-06-25,INR,CNY,0.0833861
2025-06-26,INR,CNY,0.0836173
2025-06-27,INR,CNY,0.0838131
2025-06-28,INR,CNY,0.08379
2025-06-29,INR,CNY,0.0838004
2025-06-30,INR,CNY,0.083641
2025-07-01,INR,CNY,0.0836518
2025-07-02,INR,CNY,0.0836392
2025-07-03,INR,CNY,0.0838215
2025-07-04,INR,CNY,0.0837334
2025-07-05,INR,CNY,0.0830323
2025-07-06,INR,CNY,0.0830395
2025-07-07,INR,CNY,0.0835659
2025-07-08,INR,CNY,0.0836714
2025-07-09,INR,CNY,0.0837063
2025-07-10,INR,CNY,0.0837578
2025-07-11,INR,CNY,0.0835521
2025-07-12,INR,CNY,0.0835051
2025-07-13,INR,CNY,0.0835053
2025-07-14,INR,CNY,0.0834214
2025-07-15,INR,CNY,0.0834561
2025-07-16,INR,CNY,0.0835157
2025-07-17,INR,CNY,0.0834768
2025-07-18,INR,CNY,0.0833522
2025-07-19,INR,CNY,0.0833098
2025-07-20,INR,CNY,0.0833106
2025-07-21,INR,CNY,0.0831792
2025-07-22,INR,CNY,0.0830913
2025-07-23,INR,CNY,0.0829449
2025-07-24,INR,CNY,0.0828343
2025-07-25,INR,CNY,0.08276
2025-07-26,INR,CNY,0.0827812
2025-07-27,INR,CNY,0.082781
2025-07-28,INR,CNY,0.0827285
2025-07-29,INR,CNY,0.0825645
2025-07-30,INR,CNY,0.0820732
2025-07-31,INR,CNY,0.0820833
2025-08-01,INR,CNY,0.0824325
2025-08-02,INR,CNY,0.0825359
2025-08-03,INR,CNY,0.0825319
2025-08-04,INR,CNY,0.0820176
2025-08-05,INR,CNY,0.0817722
2025-08-06,INR,CNY,0.0818797
2025-08-07,INR,CNY,0.0819952
2025-08-08,INR,CNY,0.0819701
2025-08-09,INR,CNY,0.0818328
2025-08-10,INR,CNY,0.0818361
2025-08-11,INR,CNY,0.0819754
2025-08-12,INR,CNY,0.081975
2025-08-13,INR,CNY,0.0819941
2025-08-14,INR,CNY,0.0819115
2025-08-15,INR,CNY,0.0820104
2025-08-16,INR,CNY,0.0820573
2025-08-17,INR,CNY,0.0820551
2025-08-18,INR,CNY,0.0821851
2025-08-19,INR,CNY,0.0824423
2025-08-20,INR,CNY,0.0824479
2025-08-21,INR,CNY,0.0823211
2025-08-22,INR,CNY,0.0821057
2025-08-23,INR,CNY,0.0820351
2025-08-24,INR,CNY,0.0820314
2025-08-25,INR,CNY,0.0817916
2025-08-26,INR,CNY,0.0815874
2025-08-27,INR,CNY,0.0815485
2025-08-28,INR,CNY,0.0815448
2025-08-29,INR,CNY,0.0810672
2025-08-30,INR,CNY,0.0808569
2025-08-31,INR,CNY,0.0808562
2025-09-01,INR,CNY,0.0809309
2025-09-02,INR,CNY,0.0810456
2025-09-03,INR,CNY,0.0810875
2025-09-04,INR,CNY,0.0810032
2025-09-05,INR,CNY,0.0809131
2025-09-06,INR,CNY,0.0808564
2025-09-07,INR,CNY,0.0808557
2025-09-08,INR,CNY,0.0809826
2025-09-09,INR,CNY,0.0808227
2025-09-10,INR,CNY,0.0808176
2025-09-11,INR,CNY,0.0806432
2025-09-12,INR,CNY,0.0806457
2025-09-13,INR,CNY,0.0806932
2025-09-14,INR,CNY,0.0806889
2025-09-15,INR,CNY,0.080745
2025-09-16,INR,CNY,0.0808401
2025-09-17,INR,CNY,0.080932
2025-09-18,INR,CNY,0.0806599
2025-09-19,INR,CNY,0.080686
2025-09-20,INR,CNY,0.0807445
2025-09-21,INR,CNY,0.0807454
2025-09-22,INR,CNY,0.0805939
2025-09-23,INR,CNY,0.080197
2025-09-24,INR,CNY,0.0802225
2025-09-25,INR,CNY,0.0803561
2025-09-26,INR,CNY,0.0804195
2025-09-27,INR,CNY,0.0804346
2025-09-28,INR,CNY,0.080433
2025-09-29,INR,CNY,0.0802956
2025-09-30,INR,CNY,0.0801689
2025-10-01,INR,CNY,0.0802503
2025-10-02,INR,CNY,0.0802226
2025-10-03,INR,CNY,0.0802052
2025-10-04,INR,CNY,0.0802237
2025-10-05,INR,CNY,0.0802195
2025-10-06,INR,CNY,0.0802068
2025-10-07,INR,CNY,0.0802187
2025-10-08,INR,CNY,0.0801917
2025-10-09,INR,CNY,0.0801995
2025-10-10,INR,CNY,0.0802839
2025-10-11,INR,CNY,0.0801855
2025-10-12,INR,CNY,0.0801787
2025-10-13,INR,CNY,0.0802421
2025-10-14,INR,CNY,0.0803008
2025-10-15,INR,CNY,0.0808774
2025-10-16,INR,CNY,0.0810481
2025-10-17,INR,CNY,0.0809813
2025-10-18,INR,CNY,0.0809699
2025-10-19,INR,CNY,0.0809695
2025-10-20,INR,CNY,0.0810121
2025-10-21,INR,CNY,0.0809148
2025-10-22,INR,CNY,0.0811662
2025-10-23,INR,CNY,0.0811042
2025-10-24,INR,CNY,0.0811251
2025-10-25,INR,CNY,0.0810665
2025-10-26,INR,CNY,0.0810655
2025-10-27,INR,CNY,0.0806853
2025-10-28,INR,CNY,0.0804584
2025-10-29,INR,CNY,0.0803419
2025-10-30,INR,CNY,0.0801782
2025-10-31,INR,CNY,0.0801122
2025-11-01,INR,CNY,0.079856
2025-11-02,INR,CNY,0.0798764
2025-11-03,INR,CNY,0.0802308
2025-11-04,INR,CNY,0.0803
2025-11-05,INR,CNY,0.0803816
2025-11-06,INR,CNY,0.0803476
2025-11-07,INR,CNY,0.0802708
2025-11-08,INR,CNY,0.0802672
2025-11-09,INR,CNY,0.080265
2025-11-10,INR,CNY,0.0802482
2025-11-11,INR,CNY,0.0803502
2025-11-12,INR,CNY,0.0802931
2025-11-13,INR,CNY,0.0800589
2025-11-14,INR,CNY,0.080046
2025-11-15,INR,CNY,0.080024
2025-11-16,INR,CNY,0.0800177
2025-11-17,INR,CNY,0.0801115
2025-11-18,INR,CNY,0.0802193
2025-11-19,INR,CNY,0.0802982
2025-11-20,INR,CNY,0.0801615
2025-11-21,INR,CNY,0.0796073
2025-11-22,INR,CNY,0.0792523
2025-11-23,INR,CNY,0.0792463
2025-11-24,INR,CNY,0.0796095
2025-11-25,INR,CNY,0.0795395
2025-11-26,INR,CNY,0.0793516
2025-11-27,INR,CNY,0.0792406
2025-11-28,INR,CNY,0.0791218
2025-11-29,INR,CNY,0.0791563
2025-11-30,INR,CNY,0.079157
2025-12-01,INR,CNY,0.0789742
2025-12-02,INR,CNY,0.0786852
2025-12-03,INR,CNY,0.0783983
2025-12-04,INR,CNY,0.0785326
2025-12-05,INR,CNY,0.0786046
2025-12-06,INR,CNY,0.0785529
2025-12-07,INR,CNY,0.0785556
2025-12-08,INR,CNY,0.0784698
2025-12-09,INR,CNY,0.0785879
