date,base,quote,rate
2025-06-22,INR,EUR,0.0100132
2025-06-23,INR,EUR,0.0100154
2025-06-24,INR,EUR,0.0100085
2025-06-25,INR,EUR,0.00999975
2025-06-26,INR,EUR,0.00996321
2025-06-27,INR,EUR,0.009982
2025-06-28,INR,EUR,0.00996593
2025-06-29,INR,EUR,0.00996638
2025-06-30,INR,EUR,0.00993775
2025-07-01,INR,EUR,0.00990182
2025-07-02,INR,EUR,0.0099026
2025-07-03,INR,EUR,0.00993298
2025-07-04,INR,EUR,0.00992422
2025-07-05,INR,EUR,0.0098374
2025-07-06,INR,EUR,0.00983819
2025-07-07,INR,EUR,0.00992679
2025-07-08,INR,EUR,0.00994287
2025-07-09,INR,EUR,0.00995472
2025-07-10,INR,EUR,0.00996063
2025-07-11,INR,EUR,0.00996891
2025-07-12,INR,EUR,0.00996309
2025-07-13,INR,EUR,0.0099652
2025-07-14,INR,EUR,0.00996611
2025-07-15,INR,EUR,0.00999207
2025-07-16,INR,EUR,0.0100137
2025-07-17,INR,EUR,0.0100222
2025-07-18,INR,EUR,0.00997996
2025-07-19,INR,EUR,0.00998048
2025-07-20,INR,EUR,0.00998039
2025-07-21,INR,EUR,0.00994009
2025-07-22,INR,EUR,0.00988792
2025-07-23,INR,EUR,0.00985533
2025-07-24,INR,EUR,0.00983949
2025-07-25,INR,EUR,0.00984629
2025-07-26,INR,EUR,0.00984239
2025-07-27,INR,EUR,0.00984088
2025-07-28,INR,EUR,0.00989432
2025-07-29,INR,EUR,0.00995096
2025-07-30,INR,EUR,0.00993507
2025-07-31,INR,EUR,0.00998821
2025-08-01,INR,EUR,0.00996462
2025-08-02,INR,EUR,0.00988961
2025-08-03,INR,EUR,0.0098884
2025-08-04,INR,EUR,0.00986003
2025-08-05,INR,EUR,0.00984842
2025-08-06,INR,EUR,0.00981297
2025-08-07,INR,EUR,0.0097944
2025-08-08,INR,EUR,0.00979552
2025-08-09,INR,EUR,0.00978771
2025-08-10,INR,EUR,0.00978765
2025-08-11,INR,EUR,0.00980821
2025-08-12,INR,EUR,0.00980093
2025-08-13,INR,EUR,0.00976332
2025-08-14,INR,EUR,0.00977998
2025-08-15,INR,EUR,0.00977297
2025-08-16,INR,EUR,0.00975885
2025-08-17,INR,EUR,0.00975829
2025-08-18,INR,EUR,0.00979643
2025-08-19,INR,EUR,0.00984123
2025-08-20,INR,EUR,0.00986109
2025-08-21,INR,EUR,0.00986009
2025-08-22,INR,EUR,0.0098213
2025-08-23,INR,EUR,0.00976454
2025-08-24,INR,EUR,0.00976463
2025-08-25,INR,EUR,0.00978515
2025-08-26,INR,EUR,0.00979764
2025-08-27,INR,EUR,0.00981195
2025-08-28,INR,EUR,0.00978572
2025-08-29,INR,EUR,0.00972553
2025-08-30,INR,EUR,0.00970237
2025-08-31,INR,EUR,0.00970189
2025-09-01,INR,EUR,0.00968818
2025-09-02,INR,EUR,0.00973759
2025-09-03,INR,EUR,0.00974586
2025-09-04,INR,EUR,0.00973657
2025-09-05,INR,EUR,0.0096885
2025-09-06,INR,EUR,0.00967209
2025-09-07,INR,EUR,0.00967244
2025-09-08,INR,EUR,0.00967597
2025-09-09,INR,EUR,0.00966003
2025-09-10,INR,EUR,0.00969431
2025-09-11,INR,EUR,0.00966947
2025-09-12,INR,EUR,0.00965553
2025-09-13,INR,EUR,0.00965085
2025-09-14,INR,EUR,0.00965092
2025-09-15,INR,EUR,0.00964943
2025-09-16,INR,EUR,0.00961078
2025-09-17,INR,EUR,0.0096114
2025-09-18,INR,EUR,0.00961544
2025-09-19,INR,EUR,0.00964441
2025-09-20,INR,EUR,0.00965941
2025-09-21,INR,EUR,0.0096601
2025-09-22,INR,EUR,0.00962699
2025-09-23,INR,EUR,0.00955187
2025-09-24,INR,EUR,0.00957622
2025-09-25,INR,EUR,0.00962414
2025-09-26,INR,EUR,0.00964693
2025-09-27,INR,EUR,0.00963598
2025-09-28,INR,EUR,0.00963532
2025-09-29,INR,EUR,0.00961051
2025-09-30,INR,EUR,0.00959299
2025-10-01,INR,EUR,0.00960082
2025-10-02,INR,EUR,0.00960541
2025-10-03,INR,EUR,0.00960064
2025-10-04,INR,EUR,0.00959542
2025-10-05,INR,EUR,0.00959737
2025-10-06,INR,EUR,0.00962621
2025-10-07,INR,EUR,0.00965056
2025-10-08,INR,EUR,0.00968984
2025-10-09,INR,EUR,0.00970476
2025-10-10,INR,EUR,0.00972613
2025-10-11,INR,EUR,0.0096914
2025-10-12,INR,EUR,0.00969209
2025-10-13,INR,EUR,0.00972755
2025-10-14,INR,EUR,0.00972553
2025-10-15,INR,EUR,0.00975172
2025-10-16,INR,EUR,0.00974785
2025-10-17,INR,EUR,0.00972689
2025-10-18,INR,EUR,0.00975112
2025-10-19,INR,EUR,0.00975029
2025-10-20,INR,EUR,0.00975716
2025-10-21,INR,EUR,0.00978064
2025-10-22,INR,EUR,0.00981785
2025-10-23,INR,EUR,0.00980968
2025-10-24,INR,EUR,0.00980118
2025-10-25,INR,EUR,0.00979118
2025-10-26,INR,EUR,0.00979052
2025-10-27,INR,EUR,0.00974735
2025-10-28,INR,EUR,0.00971902
2025-10-29,INR,EUR,0.00973145
2025-10-30,INR,EUR,0.0097356
2025-10-31,INR,EUR,0.0097518
2025-11-01,INR,EUR,0.00974012
2025-11-02,INR,EUR,0.00974237
2025-11-03,INR,EUR,0.00977563
2025-11-04,INR,EUR,0.00980503
2025-11-05,INR,EUR,0.00981877
2025-11-06,INR,EUR,0.00978937
2025-11-07,INR,EUR,0.00975799
