date,base,quote,rate
2025-06-22,INR,HKD,0.090537
2025-06-23,INR,HKD,0.0905724
2025-06-24,INR,HKD,0.0912016
2025-06-25,INR,HKD,0.0912578
2025-06-26,INR,HKD,0.0915276
2025-06-27,INR,HKD,0.0917635
2025-06-28,INR,HKD,0.0917072
2025-06-29,INR,HKD,0.0917185
2025-06-30,INR,HKD,0.0916108
2025-07-01,INR,HKD,0.0916639
2025-07-02,INR,HKD,0.0916285
2025-07-03,INR,HKD,0.0918282
2025-07-04,INR,HKD,0.0917337
2025-07-05,INR,HKD,0.0909532
2025-07-06,INR,HKD,0.0909628
2025-07-07,INR,HKD,0.091478
2025-07-08,INR,HKD,0.0915537
2025-07-09,INR,HKD,0.0915435
2025-07-10,INR,HKD,0.0916014
2025-07-11,INR,HKD,0.0914608
2025-07-12,INR,HKD,0.0914445
2025-07-13,INR,HKD,0.0914448
2025-07-14,INR,HKD,0.0913571
2025-07-15,INR,HKD,0.0913584
2025-07-16,INR,HKD,0.0913548
2025-07-17,INR,HKD,0.0912562
2025-07-18,INR,HKD,0.091113
2025-07-19,INR,HKD,0.0910759
2025-07-20,INR,HKD,0.0910766
2025-07-21,INR,HKD,0.0909969
2025-07-22,INR,HKD,0.0909225
2025-07-23,INR,HKD,0.0908693
2025-07-24,INR,HKD,0.0908584
2025-07-25,INR,HKD,0.0907268
2025-07-26,INR,HKD,0.0907264
2025-07-27,INR,HKD,0.0907264
2025-07-28,INR,HKD,0.0905924
2025-07-29,INR,HKD,0.0903019
2025-07-30,INR,HKD,0.0897213
2025-07-31,INR,HKD,0.0896226
2025-08-01,INR,HKD,0.0898497
2025-08-02,INR,HKD,0.0899552
2025-08-03,INR,HKD,0.0899442
2025-08-04,INR,HKD,0.089569
2025-08-05,INR,HKD,0.0893776
2025-08-06,INR,HKD,0.0894632
2025-08-07,INR,HKD,0.0896291
2025-08-08,INR,HKD,0.0895975
2025-08-09,INR,HKD,0.0894575
2025-08-10,INR,HKD,0.0894612
2025-08-11,INR,HKD,0.0895765
2025-08-12,INR,HKD,0.0895623
2025-08-13,INR,HKD,0.0896851
2025-08-14,INR,HKD,0.0895198
2025-08-15,INR,HKD,0.0893825
2025-08-16,INR,HKD,0.0893915
2025-08-17,INR,HKD,0.0893911
2025-08-18,INR,HKD,0.0895078
2025-08-19,INR,HKD,0.0895379
2025-08-20,INR,HKD,0.0897076
2025-08-21,INR,HKD,0.0896055
2025-08-22,INR,HKD,0.0894289
2025-08-23,INR,HKD,0.0894317
2025-08-24,INR,HKD,0.0894306
2025-08-25,INR,HKD,0.0892461
2025-08-26,INR,HKD,0.0889725
2025-08-27,INR,HKD,0.0887346
2025-08-28,INR,HKD,0.0889505
2025-08-29,INR,HKD,0.0885166
2025-08-30,INR,HKD,0.0883784
2025-08-31,INR,HKD,0.0883785
2025-09-01,INR,HKD,0.0884505
2025-09-02,INR,HKD,0.0886148
2025-09-03,INR,HKD,0.0885997
2025-09-04,INR,HKD,0.088474
2025-09-05,INR,HKD,0.0884168
2025-09-06,INR,HKD,0.0883884
2025-09-07,INR,HKD,0.0883863
2025-09-08,INR,HKD,0.0885086
2025-09-09,INR,HKD,0.0883512
2025-09-10,INR,HKD,0.0883962
2025-09-11,INR,HKD,0.0882157
2025-09-12,INR,HKD,0.0881288
2025-09-13,INR,HKD,0.0880978
2025-09-14,INR,HKD,0.0880967
2025-09-15,INR,HKD,0.0881892
2025-09-16,INR,HKD,0.0883828
2025-09-17,INR,HKD,0.0885428
2025-09-18,INR,HKD,0.088256
2025-09-19,INR,HKD,0.0881956
2025-09-20,INR,HKD,0.0882379
2025-09-21,INR,HKD,0.0882383
2025-09-22,INR,HKD,0.088029
2025-09-23,INR,HKD,0.0876571
2025-09-24,INR,HKD,0.0876118
2025-09-25,INR,HKD,0.0876708
2025-09-26,INR,HKD,0.0877067
2025-09-27,INR,HKD,0.0877112
2025-09-28,INR,HKD,0.0877104
2025-09-29,INR,HKD,0.0876974
2025-09-30,INR,HKD,0.0876144
2025-10-01,INR,HKD,0.0877159
2025-10-02,INR,HKD,0.0876846
2025-10-03,INR,HKD,0.0876628
2025-10-04,INR,HKD,0.0876772
2025-10-05,INR,HKD,0.0876727
2025-10-06,INR,HKD,0.0876734
2025-10-07,INR,HKD,0.0876943
2025-10-08,INR,HKD,0.0876616
2025-10-09,INR,HKD,0.0875999
2025-10-10,INR,HKD,0.0877062
2025-10-11,INR,HKD,0.0876734
2025-10-12,INR,HKD,0.0876623
2025-10-13,INR,HKD,0.0876968
2025-10-14,INR,HKD,0.0875844
2025-10-15,INR,HKD,0.0881809
2025-10-16,INR,HKD,0.0884077
2025-10-17,INR,HKD,0.0882906
2025-10-18,INR,HKD,0.0882366
2025-10-19,INR,HKD,0.0882379
2025-10-20,INR,HKD,0.0883499
2025-10-21,INR,HKD,0.0882991
2025-10-22,INR,HKD,0.0885397
2025-10-23,INR,HKD,0.0884713
2025-10-24,INR,HKD,0.0884959
2025-10-25,INR,HKD,0.0884482
2025-10-26,INR,HKD,0.0884472
2025-10-27,INR,HKD,0.0881125
2025-10-28,INR,HKD,0.0880151
2025-10-29,INR,HKD,0.0879621
2025-10-30,INR,HKD,0.0876922
2025-10-31,INR,HKD,0.0875376
2025-11-01,INR,HKD,0.0873105
2025-11-02,INR,HKD,0.087329
2025-11-03,INR,HKD,0.087564
2025-11-04,INR,HKD,0.0876502
2025-11-05,INR,HKD,0.0876939
2025-11-06,INR,HKD,0.0877168
2025-11-07,INR,HKD,0.0876826
2025-11-08,INR,HKD,0.0876813
2025-11-09,INR,HKD,0.0876786
2025-11-10,INR,HKD,0.087635
2025-11-11,INR,HKD,0.0877639
2025-11-12,INR,HKD,0.0877033
2025-11-13,INR,HKD,0.0875804
2025-11-14,INR,HKD,0.0875885
2025-11-15,INR,HKD,0.0876151
2025-11-16,INR,HKD,0.0876124
2025-11-17,INR,HKD,0.0876863
2025-11-18,INR,HKD,0.0878491
2025-11-19,INR,HKD,0.0879894
2025-11-20,INR,HKD,0.0877784
2025-11-21,INR,HKD,0.0872101
2025-11-22,INR,HKD,0.0868149
2025-11-23,INR,HKD,0.0868111
2025-11-24,INR,HKD,0.0872157
2025-11-25,INR,HKD,0.0872164
2025-11-26,INR,HKD,0.0871735
2025-11-27,INR,HKD,0.0870817
2025-11-28,INR,HKD,0.0870411
2025-11-29,INR,HKD,0.0870989
2025-11-30,INR,HKD,0.0871
2025-12-01,INR,HKD,0.086956
2025-12-02,INR,HKD,0.0866369
2025-12-03,INR,HKD,0.0863535
2025-12-04,INR,HKD,0.0864718
2025-12-05,INR,HKD,0.086536
2025-12-06,INR,HKD,0.0864658
2025-12-07,INR,HKD,0.0864713
2025-12-08,INR,HKD,0.0863564
2025-12-09,INR,HKD,0.0865149
2025-12-10,INR,HKD,0.086554
2025-12-11,INR,HKD,0.0862618
2025-12-12,INR,HKD,0.0860448
2025-12-13,INR,HKD,0.0859433
2025-12-14,INR,HKD,0.0859502
2025-12-15,INR,HKD,0.0858118
2025-12-16,INR,HKD,0.0855671
2025-12-17,INR,HKD,0.0859758
2025-12-18,INR,HKD,0.0861947
