date,base,quote,rate
2025-06-22,JPY,INR,0.591786
2025-06-23,JPY,INR,0.590129
2025-06-24,JPY,INR,0.593049
2025-06-25,JPY,INR,0.591764
2025-06-26,JPY,INR,0.593613
2025-06-27,JPY,INR,0.591384
2025-06-28,JPY,INR,0.59037
2025-06-29,JPY,INR,0.590503
2025-06-30,JPY,INR,0.593856
2025-07-01,JPY,INR,0.596603
2025-07-02,JPY,INR,0.595664
2025-07-03,JPY,INR,0.591849
2025-07-04,JPY,INR,0.590923
2025-07-05,JPY,INR,0.587915
2025-07-06,JPY,INR,0.587969
2025-07-07,JPY,INR,0.589743
2025-07-08,JPY,INR,0.585415
2025-07-09,JPY,INR,0.584682
2025-07-10,JPY,INR,0.585776
2025-07-11,JPY,INR,0.583311
2025-07-12,JPY,INR,0.5821
2025-07-13,JPY,INR,0.582158
2025-07-14,JPY,INR,0.582514
2025-07-15,JPY,INR,0.57952
2025-07-16,JPY,INR,0.578676
2025-07-17,JPY,INR,0.57879
2025-07-18,JPY,INR,0.579387
2025-07-19,JPY,INR,0.578672
2025-07-20,JPY,INR,0.578896
2025-07-21,JPY,INR,0.583559
2025-07-22,JPY,INR,0.586739
2025-07-23,JPY,INR,0.589176
2025-07-24,JPY,INR,0.589362
2025-07-25,JPY,INR,0.586238
2025-07-26,JPY,INR,0.585771
2025-07-27,JPY,INR,0.58573
2025-07-28,JPY,INR,0.58447
2025-07-29,JPY,INR,0.585272
2025-07-30,JPY,INR,0.588362
2025-07-31,JPY,INR,0.584022
2025-08-01,JPY,INR,0.585144
2025-08-02,JPY,INR,0.591185
2025-08-03,JPY,INR,0.591302
2025-08-04,JPY,INR,0.594454
2025-08-05,JPY,INR,0.595583
2025-08-06,JPY,INR,0.59493
2025-08-07,JPY,INR,0.594524
2025-08-08,JPY,INR,0.593533
2025-08-09,JPY,INR,0.593179
2025-08-10,JPY,INR,0.593123
2025-08-11,JPY,INR,0.592703
2025-08-12,JPY,INR,0.591578
2025-08-13,JPY,INR,0.593193
2025-08-14,JPY,INR,0.595363
2025-08-15,JPY,INR,0.594947
2025-08-16,JPY,INR,0.594591
2025-08-17,JPY,INR,0.594567
2025-08-18,JPY,INR,0.591848
2025-08-19,JPY,INR,0.58978
2025-08-20,JPY,INR,0.590568
2025-08-21,JPY,INR,0.589502
2025-08-22,JPY,INR,0.590862
2025-08-23,JPY,INR,0.594381
2025-08-24,JPY,INR,0.594332
2025-08-25,JPY,INR,0.593333
2025-08-26,JPY,INR,0.594205
2025-08-27,JPY,INR,0.593777
2025-08-28,JPY,INR,0.595601
2025-08-29,JPY,INR,0.598658
2025-08-30,JPY,INR,0.599194
2025-08-31,JPY,INR,0.599225
2025-09-01,JPY,INR,0.598811
2025-09-02,JPY,INR,0.594115
2025-09-03,JPY,INR,0.593242
2025-09-04,JPY,INR,0.59406
2025-09-05,JPY,INR,0.596763
2025-09-06,JPY,INR,0.598061
2025-09-07,JPY,INR,0.597655
2025-09-08,JPY,INR,0.595606
2025-09-09,JPY,INR,0.599053
2025-09-10,JPY,INR,0.597662
2025-09-11,JPY,INR,0.598689
2025-09-12,JPY,INR,0.59806
2025-09-13,JPY,INR,0.597681
2025-09-14,JPY,INR,0.597657
2025-09-15,JPY,INR,0.59815
2025-09-16,JPY,INR,0.599484
2025-09-17,JPY,INR,0.5994
2025-09-18,JPY,INR,0.59706
2025-09-19,JPY,INR,0.595987
2025-09-20,JPY,INR,0.595335
2025-09-21,JPY,INR,0.595327
2025-09-22,JPY,INR,0.596462
2025-09-23,JPY,INR,0.600334
2025-09-24,JPY,INR,0.59802
2025-09-25,JPY,INR,0.594564
2025-09-26,JPY,INR,0.592591
2025-09-27,JPY,INR,0.592889
2025-09-28,JPY,INR,0.592896
2025-09-29,JPY,INR,0.59643
2025-09-30,JPY,INR,0.599591
2025-10-01,JPY,INR,0.602246
2025-10-02,JPY,INR,0.603115
2025-10-03,JPY,INR,0.60176
2025-10-04,JPY,INR,0.601597
2025-10-05,JPY,INR,0.60063
2025-10-06,JPY,INR,0.591058
2025-10-07,JPY,INR,0.587494
2025-10-08,JPY,INR,0.581673
2025-10-09,JPY,INR,0.580975
2025-10-10,JPY,INR,0.582356
2025-10-11,JPY,INR,0.587022
2025-10-12,JPY,INR,0.586619
2025-10-13,JPY,INR,0.582826
2025-10-14,JPY,INR,0.584059
2025-10-15,JPY,INR,0.582732
2025-10-16,JPY,INR,0.582848
2025-10-17,JPY,INR,0.58549
2025-10-18,JPY,INR,0.583992
2025-10-19,JPY,INR,0.583935
2025-10-20,JPY,INR,0.583147
2025-10-21,JPY,INR,0.580373
2025-10-22,JPY,INR,0.577969
2025-10-23,JPY,INR,0.575706
2025-10-24,JPY,INR,0.5743
2025-10-25,JPY,INR,0.574225
2025-10-26,JPY,INR,0.574184
2025-10-27,JPY,INR,0.57619
2025-10-28,JPY,INR,0.580076
2025-10-29,JPY,INR,0.579382
2025-10-30,JPY,INR,0.576406
2025-10-31,JPY,INR,0.575673
2025-11-01,JPY,INR,0.574581
2025-11-02,JPY,INR,0.574687
2025-11-03,JPY,INR,0.575668
2025-11-04,JPY,INR,0.576927
2025-11-05,JPY,INR,0.576452
2025-11-06,JPY,INR,0.577252
2025-11-07,JPY,INR,0.578494
2025-11-08,JPY,INR,0.577609
2025-11-09,JPY,INR,0.577494
2025-11-10,JPY,INR,0.575764
2025-11-11,JPY,INR,0.574325
2025-11-12,JPY,INR,0.572785
2025-11-13,JPY,INR,0.573709
2025-11-14,JPY,INR,0.574139
2025-11-15,JPY,INR,0.573664
2025-11-16,JPY,INR,0.573616
2025-11-17,JPY,INR,0.572111
2025-11-18,JPY,INR,0.570335
2025-11-19,JPY,INR,0.566784
2025-11-20,JPY,INR,0.563106
2025-11-21,JPY,INR,0.568997
2025-11-22,JPY,INR,0.572728
2025-11-23,JPY,INR,0.572641
2025-11-24,JPY,INR,0.568934
2025-11-25,JPY,INR,0.570182
2025-11-26,JPY,INR,0.570591
