date,base,quote,rate
2025-06-22,KZT,CNY,0.0137386
2025-06-23,KZT,CNY,0.0137063
2025-06-24,KZT,CNY,0.0138085
2025-06-25,KZT,CNY,0.0137972
2025-06-26,KZT,CNY,0.0138111
2025-06-27,KZT,CNY,0.0137552
2025-06-28,KZT,CNY,0.0137642
2025-06-29,KZT,CNY,0.0137642
2025-06-30,KZT,CNY,0.0137436
2025-07-01,KZT,CNY,0.0137547
2025-07-02,KZT,CNY,0.013774
2025-07-03,KZT,CNY,0.0137701
2025-07-04,KZT,CNY,0.0137496
2025-07-05,KZT,CNY,0.013756
2025-07-06,KZT,CNY,0.0137559
2025-07-07,KZT,CNY,0.013763
2025-07-08,KZT,CNY,0.0137754
2025-07-09,KZT,CNY,0.0137897
2025-07-10,KZT,CNY,0.0138038
2025-07-11,KZT,CNY,0.0137121
2025-07-12,KZT,CNY,0.0136622
2025-07-13,KZT,CNY,0.0136622
2025-07-14,KZT,CNY,0.0136426
2025-07-15,KZT,CNY,0.0136021
2025-07-16,KZT,CNY,0.0135538
2025-07-17,KZT,CNY,0.0134728
2025-07-18,KZT,CNY,0.0134406
2025-07-19,KZT,CNY,0.0134434
2025-07-20,KZT,CNY,0.0134434
2025-07-21,KZT,CNY,0.0134685
2025-07-22,KZT,CNY,0.0134464
2025-07-23,KZT,CNY,0.0133165
2025-07-24,KZT,CNY,0.0131934
2025-07-25,KZT,CNY,0.0131168
2025-07-26,KZT,CNY,0.0130996
2025-07-27,KZT,CNY,0.0130995
2025-07-28,KZT,CNY,0.0131574
2025-07-29,KZT,CNY,0.0131693
2025-07-30,KZT,CNY,0.0131675
2025-07-31,KZT,CNY,0.0132422
2025-08-01,KZT,CNY,0.0132505
2025-08-02,KZT,CNY,0.013231
2025-08-03,KZT,CNY,0.0132414
2025-08-04,KZT,CNY,0.0132838
2025-08-05,KZT,CNY,0.0132969
2025-08-06,KZT,CNY,0.0133327
2025-08-07,KZT,CNY,0.0133091
2025-08-08,KZT,CNY,0.0132642
2025-08-09,KZT,CNY,0.0132499
2025-08-10,KZT,CNY,0.0132499
2025-08-11,KZT,CNY,0.0132079
2025-08-12,KZT,CNY,0.0132095
2025-08-13,KZT,CNY,0.0132727
2025-08-14,KZT,CNY,0.0132787
2025-08-15,KZT,CNY,0.0132481
2025-08-16,KZT,CNY,0.0132328
2025-08-17,KZT,CNY,0.0132332
2025-08-18,KZT,CNY,0.0132692
2025-08-19,KZT,CNY,0.013299
2025-08-20,KZT,CNY,0.0132965
2025-08-21,KZT,CNY,0.0133124
2025-08-22,KZT,CNY,0.0133025
2025-08-23,KZT,CNY,0.0132968
2025-08-24,KZT,CNY,0.0132973
2025-08-25,KZT,CNY,0.0133478
2025-08-26,KZT,CNY,0.0133186
2025-08-27,KZT,CNY,0.0132717
2025-08-28,KZT,CNY,0.0132375
2025-08-29,KZT,CNY,0.0132225
2025-08-30,KZT,CNY,0.0131994
2025-08-31,KZT,CNY,0.0131995
2025-09-01,KZT,CNY,0.013215
2025-09-02,KZT,CNY,0.0131919
2025-09-03,KZT,CNY,0.0131904
2025-09-04,KZT,CNY,0.0131902
2025-09-05,KZT,CNY,0.0132236
2025-09-06,KZT,CNY,0.0132432
2025-09-07,KZT,CNY,0.0132436
2025-09-08,KZT,CNY,0.0132854
2025-09-09,KZT,CNY,0.0132622
2025-09-10,KZT,CNY,0.0131864
2025-09-11,KZT,CNY,0.0131716
2025-09-12,KZT,CNY,0.0131583
2025-09-13,KZT,CNY,0.0131337
2025-09-14,KZT,CNY,0.0131336
2025-09-15,KZT,CNY,0.0131323
2025-09-16,KZT,CNY,0.0131293
2025-09-17,KZT,CNY,0.0131145
2025-09-18,KZT,CNY,0.0130896
2025-09-19,KZT,CNY,0.0130973
2025-09-20,KZT,CNY,0.0131025
2025-09-21,KZT,CNY,0.0131027
2025-09-22,KZT,CNY,0.0130611
2025-09-23,KZT,CNY,0.0130296
2025-09-24,KZT,CNY,0.0130744
2025-09-25,KZT,CNY,0.0131103
2025-09-26,KZT,CNY,0.0130635
2025-09-27,KZT,CNY,0.0130804
2025-09-28,KZT,CNY,0.0130803
2025-09-29,KZT,CNY,0.0129989
2025-09-30,KZT,CNY,0.0129336
2025-10-01,KZT,CNY,0.0129446
2025-10-02,KZT,CNY,0.012972
2025-10-03,KZT,CNY,0.0129729
2025-10-04,KZT,CNY,0.0129698
2025-10-05,KZT,CNY,0.0129698
2025-10-06,KZT,CNY,0.0130129
2025-10-07,KZT,CNY,0.0131062
2025-10-08,KZT,CNY,0.0131327
2025-10-09,KZT,CNY,0.0131166
2025-10-10,KZT,CNY,0.0131597
2025-10-11,KZT,CNY,0.0132211
2025-10-12,KZT,CNY,0.0132206
2025-10-13,KZT,CNY,0.01321
2025-10-14,KZT,CNY,0.013189
2025-10-15,KZT,CNY,0.0132042
2025-10-16,KZT,CNY,0.0132186
2025-10-17,KZT,CNY,0.0132321
2025-10-18,KZT,CNY,0.0131723
2025-10-19,KZT,CNY,0.0131723
2025-10-20,KZT,CNY,0.0131905
2025-10-21,KZT,CNY,0.0131847
2025-10-22,KZT,CNY,0.0131878
2025-10-23,KZT,CNY,0.0132078
2025-10-24,KZT,CNY,0.0132094
2025-10-25,KZT,CNY,0.0131956
2025-10-26,KZT,CNY,0.0131962
2025-10-27,KZT,CNY,0.0131935
2025-10-28,KZT,CNY,0.0132296
2025-10-29,KZT,CNY,0.0133355
2025-10-30,KZT,CNY,0.0133689
2025-10-31,KZT,CNY,0.0133694
2025-11-01,KZT,CNY,0.013381
2025-11-02,KZT,CNY,0.0133829
2025-11-03,KZT,CNY,0.013465
2025-11-04,KZT,CNY,0.013539
2025-11-05,KZT,CNY,0.013541
2025-11-06,KZT,CNY,0.0135035
2025-11-07,KZT,CNY,0.0135121
