date,base,quote,rate
2025-06-22,KZT,INR,0.165436
2025-06-23,KZT,INR,0.165283
2025-06-24,KZT,INR,0.165581
2025-06-25,KZT,INR,0.16541
2025-06-26,KZT,INR,0.165112
2025-06-27,KZT,INR,0.164039
2025-06-28,KZT,INR,0.163902
2025-06-29,KZT,INR,0.163918
2025-06-30,KZT,INR,0.1642
2025-07-01,KZT,INR,0.164336
2025-07-02,KZT,INR,0.164614
2025-07-03,KZT,INR,0.164194
2025-07-04,KZT,INR,0.163846
2025-07-05,KZT,INR,0.163154
2025-07-06,KZT,INR,0.163167
2025-07-07,KZT,INR,0.164654
2025-07-08,KZT,INR,0.164613
2025-07-09,KZT,INR,0.164699
2025-07-10,KZT,INR,0.164777
2025-07-11,KZT,INR,0.164084
2025-07-12,KZT,INR,0.163578
2025-07-13,KZT,INR,0.163578
2025-07-14,KZT,INR,0.163482
2025-07-15,KZT,INR,0.162948
2025-07-16,KZT,INR,0.162266
2025-07-17,KZT,INR,0.161365
2025-07-18,KZT,INR,0.161228
2025-07-19,KZT,INR,0.161353
2025-07-20,KZT,INR,0.161351
2025-07-21,KZT,INR,0.161872
2025-07-22,KZT,INR,0.161802
2025-07-23,KZT,INR,0.160527
2025-07-24,KZT,INR,0.159257
2025-07-25,KZT,INR,0.158473
2025-07-26,KZT,INR,0.15823
2025-07-27,KZT,INR,0.15823
2025-07-28,KZT,INR,0.159017
2025-07-29,KZT,INR,0.159484
2025-07-30,KZT,INR,0.160327
2025-07-31,KZT,INR,0.161298
2025-08-01,KZT,INR,0.160701
2025-08-02,KZT,INR,0.160166
2025-08-03,KZT,INR,0.160284
2025-08-04,KZT,INR,0.161932
2025-08-05,KZT,INR,0.162582
2025-08-06,KZT,INR,0.162792
2025-08-07,KZT,INR,0.162291
2025-08-08,KZT,INR,0.161775
2025-08-09,KZT,INR,0.161766
2025-08-10,KZT,INR,0.161739
2025-08-11,KZT,INR,0.161096
2025-08-12,KZT,INR,0.161122
2025-08-13,KZT,INR,0.161852
2025-08-14,KZT,INR,0.162091
2025-08-15,KZT,INR,0.161519
2025-08-16,KZT,INR,0.161249
2025-08-17,KZT,INR,0.161255
2025-08-18,KZT,INR,0.161434
2025-08-19,KZT,INR,0.161289
2025-08-20,KZT,INR,0.16125
2025-08-21,KZT,INR,0.161695
2025-08-22,KZT,INR,0.161995
2025-08-23,KZT,INR,0.162061
2025-08-24,KZT,INR,0.162066
2025-08-25,KZT,INR,0.163176
2025-08-26,KZT,INR,0.163204
2025-08-27,KZT,INR,0.162722
2025-08-28,KZT,INR,0.162311
2025-08-29,KZT,INR,0.163073
2025-08-30,KZT,INR,0.163171
2025-08-31,KZT,INR,0.16318
2025-09-01,KZT,INR,0.163251
2025-09-02,KZT,INR,0.162747
2025-09-03,KZT,INR,0.162648
2025-09-04,KZT,INR,0.162813
2025-09-05,KZT,INR,0.163377
2025-09-06,KZT,INR,0.16374
2025-09-07,KZT,INR,0.163739
2025-09-08,KZT,INR,0.163993
2025-09-09,KZT,INR,0.164061
2025-09-10,KZT,INR,0.163134
2025-09-11,KZT,INR,0.163304
2025-09-12,KZT,INR,0.163138
