date,base,quote,rate
2025-06-22,PLN,INR,23.3116
2025-06-23,PLN,INR,23.3371
2025-06-24,PLN,INR,23.4363
2025-06-25,PLN,INR,23.5108
2025-06-26,PLN,INR,23.6241
2025-06-27,PLN,INR,23.6028
2025-06-28,PLN,INR,23.5784
2025-06-29,PLN,INR,23.5841
2025-06-30,PLN,INR,23.6949
2025-07-01,PLN,INR,23.763
2025-07-02,PLN,INR,23.7064
2025-07-03,PLN,INR,23.6538
2025-07-04,PLN,INR,23.6827
2025-07-05,PLN,INR,23.5742
2025-07-06,PLN,INR,23.5773
2025-07-07,PLN,INR,23.6978
2025-07-08,PLN,INR,23.675
2025-07-09,PLN,INR,23.6583
2025-07-10,PLN,INR,23.6178
2025-07-11,PLN,INR,23.5372
2025-07-12,PLN,INR,23.4974
2025-07-13,PLN,INR,23.4908
2025-07-14,PLN,INR,23.5312
2025-07-15,PLN,INR,23.4911
2025-07-16,PLN,INR,23.4407
2025-07-17,PLN,INR,23.4324
2025-07-18,PLN,INR,23.5607
2025-07-19,PLN,INR,23.5801
2025-07-20,PLN,INR,23.5781
2025-07-21,PLN,INR,23.6896
2025-07-22,PLN,INR,23.782
2025-07-23,PLN,INR,23.8458
2025-07-24,PLN,INR,23.877
2025-07-25,PLN,INR,23.8742
2025-07-26,PLN,INR,23.9117
2025-07-27,PLN,INR,23.9145
2025-07-28,PLN,INR,23.7266
2025-07-29,PLN,INR,23.5049
2025-07-30,PLN,INR,23.5247
2025-07-31,PLN,INR,23.4169
2025-08-01,PLN,INR,23.46
2025-08-02,PLN,INR,23.6125
2025-08-03,PLN,INR,23.6148
2025-08-04,PLN,INR,23.7167
2025-08-05,PLN,INR,23.719
2025-08-06,PLN,INR,23.8073
2025-08-07,PLN,INR,23.9401
2025-08-08,PLN,INR,24.0003
2025-08-09,PLN,INR,24.0043
2025-08-10,PLN,INR,24.0036
2025-08-11,PLN,INR,23.9597
2025-08-12,PLN,INR,23.957
2025-08-13,PLN,INR,24.0606
2025-08-14,PLN,INR,23.9939
2025-08-15,PLN,INR,24.0122
2025-08-16,PLN,INR,24.0383
2025-08-17,PLN,INR,24.0376
2025-08-18,PLN,INR,23.9861
2025-08-19,PLN,INR,23.9263
2025-08-20,PLN,INR,23.8511
2025-08-21,PLN,INR,23.8327
2025-08-22,PLN,INR,23.8873
2025-08-23,PLN,INR,23.9893
2025-08-24,PLN,INR,23.9895
2025-08-25,PLN,INR,23.9664
2025-08-26,PLN,INR,23.9414
2025-08-27,PLN,INR,23.8792
2025-08-28,PLN,INR,23.9452
2025-08-29,PLN,INR,24.095
2025-08-30,PLN,INR,24.1513
2025-08-31,PLN,INR,24.1541
2025-09-01,PLN,INR,24.2168
2025-09-02,PLN,INR,24.0819
2025-09-03,PLN,INR,24.092
2025-09-04,PLN,INR,24.1387
2025-09-05,PLN,INR,24.2693
2025-09-06,PLN,INR,24.31
2025-09-07,PLN,INR,24.3052
2025-09-08,PLN,INR,24.3052
2025-09-09,PLN,INR,24.3421
2025-09-10,PLN,INR,24.2074
2025-09-11,PLN,INR,24.2634
2025-09-12,PLN,INR,24.3293
2025-09-13,PLN,INR,24.34
2025-09-14,PLN,INR,24.3367
2025-09-15,PLN,INR,24.3675
2025-09-16,PLN,INR,24.4699
2025-09-17,PLN,INR,24.453
2025-09-18,PLN,INR,24.4016
2025-09-19,PLN,INR,24.3092
2025-09-20,PLN,INR,24.2594
2025-09-21,PLN,INR,24.256
2025-09-22,PLN,INR,24.3716
2025-09-23,PLN,INR,24.579
2025-09-24,PLN,INR,24.4691
2025-09-25,PLN,INR,24.3328
2025-09-26,PLN,INR,24.2671
2025-09-27,PLN,INR,24.2973
2025-09-28,PLN,INR,24.2958
2025-09-29,PLN,INR,24.3578
2025-09-30,PLN,INR,24.413
2025-10-01,PLN,INR,24.4308
