date,base,quote,rate
2025-06-22,PLN,KZT,139.983
2025-06-23,PLN,KZT,140.363
2025-06-24,PLN,KZT,140.72
2025-06-25,PLN,KZT,141.321
2025-06-26,PLN,KZT,142.247
2025-06-27,PLN,KZT,143.034
2025-06-28,PLN,KZT,142.974
2025-06-29,PLN,KZT,142.994
2025-06-30,PLN,KZT,143.476
2025-07-01,PLN,KZT,143.787
2025-07-02,PLN,KZT,143.197
2025-07-03,PLN,KZT,143.272
2025-07-04,PLN,KZT,143.732
2025-07-05,PLN,KZT,143.647
2025-07-06,PLN,KZT,143.654
2025-07-07,PLN,KZT,143.097
2025-07-08,PLN,KZT,142.995
2025-07-09,PLN,KZT,142.825
2025-07-10,PLN,KZT,142.519
2025-07-11,PLN,KZT,142.633
2025-07-12,PLN,KZT,142.807
2025-07-13,PLN,KZT,142.767
2025-07-14,PLN,KZT,143.056
2025-07-15,PLN,KZT,143.306
2025-07-16,PLN,KZT,143.632
2025-07-17,PLN,KZT,144.381
2025-07-18,PLN,KZT,145.314
2025-07-19,PLN,KZT,145.366
2025-07-20,PLN,KZT,145.353
2025-07-21,PLN,KZT,145.511
2025-07-22,PLN,KZT,146.146
2025-07-23,PLN,KZT,147.69
2025-07-24,PLN,KZT,149.081
2025-07-25,PLN,KZT,149.81
2025-07-26,PLN,KZT,150.274
2025-07-27,PLN,KZT,150.292
2025-07-28,PLN,KZT,148.372
2025-07-29,PLN,KZT,146.552
2025-07-30,PLN,KZT,145.914
2025-07-31,PLN,KZT,144.361
2025-08-01,PLN,KZT,145.155
2025-08-02,PLN,KZT,146.578
2025-08-03,PLN,KZT,146.49
2025-08-04,PLN,KZT,145.623
2025-08-05,PLN,KZT,145.068
2025-08-06,PLN,KZT,145.468
2025-08-07,PLN,KZT,146.694
2025-08-08,PLN,KZT,147.539
2025-08-09,PLN,KZT,147.547
2025-08-10,PLN,KZT,147.567
2025-08-11,PLN,KZT,147.944
2025-08-12,PLN,KZT,147.855
2025-08-13,PLN,KZT,147.877
2025-08-14,PLN,KZT,147.213
2025-08-15,PLN,KZT,147.849
2025-08-16,PLN,KZT,148.234
2025-08-17,PLN,KZT,148.235
2025-08-18,PLN,KZT,147.759
2025-08-19,PLN,KZT,147.527
2025-08-20,PLN,KZT,147.101
2025-08-21,PLN,KZT,146.606
2025-08-22,PLN,KZT,146.622
2025-08-23,PLN,KZT,147.178
2025-08-24,PLN,KZT,147.189
2025-08-25,PLN,KZT,146.05
2025-08-26,PLN,KZT,145.87
2025-08-27,PLN,KZT,145.919
2025-08-28,PLN,KZT,146.715
2025-08-29,PLN,KZT,146.925
2025-08-30,PLN,KZT,147.171
2025-08-31,PLN,KZT,147.18
2025-09-01,PLN,KZT,147.503
2025-09-02,PLN,KZT,147.144
2025-09-03,PLN,KZT,147.314
2025-09-04,PLN,KZT,147.43
2025-09-05,PLN,KZT,147.714
2025-09-06,PLN,KZT,147.621
2025-09-07,PLN,KZT,147.594
2025-09-08,PLN,KZT,147.374
2025-09-09,PLN,KZT,147.542
2025-09-10,PLN,KZT,147.556
2025-09-11,PLN,KZT,147.744
2025-09-12,PLN,KZT,148.303
2025-09-13,PLN,KZT,148.71
2025-09-14,PLN,KZT,148.697
2025-09-15,PLN,KZT,149.015
2025-09-16,PLN,KZT,149.868
2025-09-17,PLN,KZT,150.097
2025-09-18,PLN,KZT,149.563
2025-09-19,PLN,KZT,148.96
2025-09-20,PLN,KZT,148.667
2025-09-21,PLN,KZT,148.647
2025-09-22,PLN,KZT,149.581
2025-09-23,PLN,KZT,150.489
2025-09-24,PLN,KZT,149.355
2025-09-25,PLN,KZT,148.343
2025-09-26,PLN,KZT,148.585
2025-09-27,PLN,KZT,148.622
2025-09-28,PLN,KZT,148.619
2025-09-29,PLN,KZT,149.672
2025-09-30,PLN,KZT,150.525
2025-10-01,PLN,KZT,150.665
2025-10-02,PLN,KZT,150.278
2025-10-03,PLN,KZT,150.454
2025-10-04,PLN,KZT,150.654
2025-10-05,PLN,KZT,150.609
2025-10-06,PLN,KZT,149.637
2025-10-07,PLN,KZT,148.224
2025-10-08,PLN,KZT,147.299
2025-10-09,PLN,KZT,147.172
2025-10-10,PLN,KZT,146.337
