date,base,quote,rate
2025-06-22,RUB,HKD,0.0998474
2025-06-23,RUB,HKD,0.0997159
2025-06-24,RUB,HKD,0.100013
2025-06-25,RUB,HKD,0.100205
2025-06-26,RUB,HKD,0.099968
2025-06-27,RUB,HKD,0.0998333
2025-06-28,RUB,HKD,0.0999964
2025-06-29,RUB,HKD,0.0999126
2025-06-30,RUB,HKD,0.0998049
2025-07-01,RUB,HKD,0.100119
2025-07-02,RUB,HKD,0.0996622
2025-07-03,RUB,HKD,0.0993788
2025-07-04,RUB,HKD,0.0994105
2025-07-05,RUB,HKD,0.0996493
2025-07-06,RUB,HKD,0.0995691
2025-07-07,RUB,HKD,0.0994291
2025-07-08,RUB,HKD,0.100037
2025-07-09,RUB,HKD,0.100291
2025-07-10,RUB,HKD,0.101683
2025-07-11,RUB,HKD,0.100781
2025-07-12,RUB,HKD,0.100629
2025-07-13,RUB,HKD,0.100534
2025-07-14,RUB,HKD,0.100358
2025-07-15,RUB,HKD,0.100589
2025-07-16,RUB,HKD,0.100392
2025-07-17,RUB,HKD,0.100439
2025-07-18,RUB,HKD,0.100211
2025-07-19,RUB,HKD,0.0999487
2025-07-20,RUB,HKD,0.0998614
2025-07-21,RUB,HKD,0.0999049
2025-07-22,RUB,HKD,0.100199
2025-07-23,RUB,HKD,0.100027
2025-07-24,RUB,HKD,0.0993626
2025-07-25,RUB,HKD,0.0987912
2025-07-26,RUB,HKD,0.0989101
2025-07-27,RUB,HKD,0.0988535
2025-07-28,RUB,HKD,0.0975737
2025-07-29,RUB,HKD,0.0961001
2025-07-30,RUB,HKD,0.0964401
2025-07-31,RUB,HKD,0.097204
2025-08-01,RUB,HKD,0.0975533
2025-08-02,RUB,HKD,0.0981098
2025-08-03,RUB,HKD,0.0980785
2025-08-04,RUB,HKD,0.0983253
2025-08-05,RUB,HKD,0.0981208
2025-08-06,RUB,HKD,0.0979974
2025-08-07,RUB,HKD,0.0987043
2025-08-08,RUB,HKD,0.0984703
2025-08-09,RUB,HKD,0.0981099
2025-08-10,RUB,HKD,0.098016
2025-08-11,RUB,HKD,0.0981986
2025-08-12,RUB,HKD,0.0985434
2025-08-13,RUB,HKD,0.0986965
2025-08-14,RUB,HKD,0.0984221
2025-08-15,RUB,HKD,0.0978204
2025-08-16,RUB,HKD,0.0976341
2025-08-17,RUB,HKD,0.0976014
2025-08-18,RUB,HKD,0.0971622
2025-08-19,RUB,HKD,0.0966466
2025-08-20,RUB,HKD,0.0969046
2025-08-21,RUB,HKD,0.0969523
2025-08-22,RUB,HKD,0.0969412
2025-08-23,RUB,HKD,0.0969858
2025-08-24,RUB,HKD,0.0969611
2025-08-25,RUB,HKD,0.0966529
2025-08-26,RUB,HKD,0.0968082
2025-08-27,RUB,HKD,0.0967801
2025-08-28,RUB,HKD,0.0969087
2025-08-29,RUB,HKD,0.0968534
2025-08-30,RUB,HKD,0.0973389
2025-08-31,RUB,HKD,0.0974239
2025-09-01,RUB,HKD,0.0965028
2025-09-02,RUB,HKD,0.0968054
2025-09-03,RUB,HKD,0.0964967
2025-09-04,RUB,HKD,0.0960166
2025-09-05,RUB,HKD,0.0958791
2025-09-06,RUB,HKD,0.0959693
2025-09-07,RUB,HKD,0.0959686
2025-09-08,RUB,HKD,0.0950301
2025-09-09,RUB,HKD,0.0934953
2025-09-10,RUB,HKD,0.0922797
