date,base,quote,rate
2025-06-22,RUB,INR,1.10024
2025-06-23,RUB,INR,1.1004
2025-06-24,RUB,INR,1.09621
2025-06-25,RUB,INR,1.0977
2025-06-26,RUB,INR,1.09183
2025-06-27,RUB,INR,1.08742
2025-06-28,RUB,INR,1.08794
2025-06-29,RUB,INR,1.08715
2025-06-30,RUB,INR,1.08868
2025-07-01,RUB,INR,1.09163
2025-07-02,RUB,INR,1.08722
2025-07-03,RUB,INR,1.08166
2025-07-04,RUB,INR,1.0813
2025-07-05,RUB,INR,1.07897
2025-07-06,RUB,INR,1.07817
2025-07-07,RUB,INR,1.08664
2025-07-08,RUB,INR,1.0925
2025-07-09,RUB,INR,1.09529
2025-07-10,RUB,INR,1.10986
2025-07-11,RUB,INR,1.1017
2025-07-12,RUB,INR,1.10024
2025-07-13,RUB,INR,1.09919
2025-07-14,RUB,INR,1.09815
2025-07-15,RUB,INR,1.10079
2025-07-16,RUB,INR,1.09876
2025-07-17,RUB,INR,1.10042
2025-07-18,RUB,INR,1.0997
2025-07-19,RUB,INR,1.09733
2025-07-20,RUB,INR,1.09636
2025-07-21,RUB,INR,1.09756
2025-07-22,RUB,INR,1.10186
2025-07-23,RUB,INR,1.10065
2025-07-24,RUB,INR,1.09348
2025-07-25,RUB,INR,1.08875
2025-07-26,RUB,INR,1.0901
2025-07-27,RUB,INR,1.08948
2025-07-28,RUB,INR,1.07688
2025-07-29,RUB,INR,1.06408
2025-07-30,RUB,INR,1.07416
2025-07-31,RUB,INR,1.0844
2025-08-01,RUB,INR,1.08545
2025-08-02,RUB,INR,1.08969
2025-08-03,RUB,INR,1.08937
2025-08-04,RUB,INR,1.09755
2025-08-05,RUB,INR,1.09764
2025-08-06,RUB,INR,1.09512
2025-08-07,RUB,INR,1.10109
2025-08-08,RUB,INR,1.09874
2025-08-09,RUB,INR,1.09572
2025-08-10,RUB,INR,1.09448
2025-08-11,RUB,INR,1.09609
2025-08-12,RUB,INR,1.10015
2025-08-13,RUB,INR,1.10033
2025-08-14,RUB,INR,1.09931
2025-08-15,RUB,INR,1.09424
2025-08-16,RUB,INR,1.09211
2025-08-17,RUB,INR,1.09173
2025-08-18,RUB,INR,1.08538
2025-08-19,RUB,INR,1.07923
2025-08-20,RUB,INR,1.08008
2025-08-21,RUB,INR,1.08187
2025-08-22,RUB,INR,1.08386
2025-08-23,RUB,INR,1.0843
2025-08-24,RUB,INR,1.08398
2025-08-25,RUB,INR,1.08288
2025-08-26,RUB,INR,1.0878
2025-08-27,RUB,INR,1.0905
2025-08-28,RUB,INR,1.08931
2025-08-29,RUB,INR,1.09397
2025-08-30,RUB,INR,1.10089
2025-08-31,RUB,INR,1.1019
2025-09-01,RUB,INR,1.09079
2025-09-02,RUB,INR,1.09227
2025-09-03,RUB,INR,1.08899
2025-09-04,RUB,INR,1.0851
2025-09-05,RUB,INR,1.08405
2025-09-06,RUB,INR,1.08546
2025-09-07,RUB,INR,1.08543
2025-09-08,RUB,INR,1.07329
2025-09-09,RUB,INR,1.05804
2025-09-10,RUB,INR,1.04375
2025-09-11,RUB,INR,1.04145
2025-09-12,RUB,INR,1.04835
2025-09-13,RUB,INR,1.05083
2025-09-14,RUB,INR,1.05063
2025-09-15,RUB,INR,1.05845
2025-09-16,RUB,INR,1.06032
2025-09-17,RUB,INR,1.05153
2025-09-18,RUB,INR,1.05529
2025-09-19,RUB,INR,1.05635
2025-09-20,RUB,INR,1.05492
2025-09-21,RUB,INR,1.05343
2025-09-22,RUB,INR,1.05156
2025-09-23,RUB,INR,1.06016
2025-09-24,RUB,INR,1.05945
2025-09-25,RUB,INR,1.05786
2025-09-26,RUB,INR,1.0599
2025-09-27,RUB,INR,1.0634
2025-09-28,RUB,INR,1.06209
2025-09-29,RUB,INR,1.06408
2025-09-30,RUB,INR,1.07139
2025-10-01,RUB,INR,1.07951
2025-10-02,RUB,INR,1.08185
2025-10-03,RUB,INR,1.07888
2025-10-04,RUB,INR,1.07892
2025-10-05,RUB,INR,1.07791
2025-10-06,RUB,INR,1.06854
2025-10-07,RUB,INR,1.07713
2025-10-08,RUB,INR,1.08624
2025-10-09,RUB,INR,1.09163
2025-10-10,RUB,INR,1.08977
2025-10-11,RUB,INR,1.08728
2025-10-12,RUB,INR,1.08697
2025-10-13,RUB,INR,1.09237
2025-10-14,RUB,INR,1.10823
2025-10-15,RUB,INR,1.11606
2025-10-16,RUB,INR,1.10344
2025-10-17,RUB,INR,1.08553
2025-10-18,RUB,INR,1.08416
2025-10-19,RUB,INR,1.08317
2025-10-20,RUB,INR,1.08169
2025-10-21,RUB,INR,1.08365
2025-10-22,RUB,INR,1.07541
2025-10-23,RUB,INR,1.07854
2025-10-24,RUB,INR,1.08851
2025-10-25,RUB,INR,1.10099
2025-10-26,RUB,INR,1.10055
2025-10-27,RUB,INR,1.10126
2025-10-28,RUB,INR,1.10972
2025-10-29,RUB,INR,1.10683
2025-10-30,RUB,INR,1.1061
2025-10-31,RUB,INR,1.10109
2025-11-01,RUB,INR,1.09555
2025-11-02,RUB,INR,1.09573
2025-11-03,RUB,INR,1.09415
2025-11-04,RUB,INR,1.09516
2025-11-05,RUB,INR,1.09178
2025-11-06,RUB,INR,1.09001
2025-11-07,RUB,INR,1.09345
2025-11-08,RUB,INR,1.09479
2025-11-09,RUB,INR,1.09363
2025-11-10,RUB,INR,1.08911
2025-11-11,RUB,INR,1.09089
2025-11-12,RUB,INR,1.0914
2025-11-13,RUB,INR,1.09686
2025-11-14,RUB,INR,1.09719
2025-11-15,RUB,INR,1.09651
2025-11-16,RUB,INR,1.09542
2025-11-17,RUB,INR,1.08819
2025-11-18,RUB,INR,1.09173
2025-11-19,RUB,INR,1.09575
2025-11-20,RUB,INR,1.10393
2025-11-21,RUB,INR,1.12423
2025-11-22,RUB,INR,1.13296
2025-11-23,RUB,INR,1.13227
2025-11-24,RUB,INR,1.12915
2025-11-25,RUB,INR,1.1315
2025-11-26,RUB,INR,1.13343
2025-11-27,RUB,INR,1.14099
2025-11-28,RUB,INR,1.14878
2025-11-29,RUB,INR,1.15302
2025-11-30,RUB,INR,1.15159
2025-12-01,RUB,INR,1.14778
2025-12-02,RUB,INR,1.15796
2025-12-03,RUB,INR,1.1621
2025-12-04,RUB,INR,1.17402
2025-12-05,RUB,INR,1.1747
2025-12-06,RUB,INR,1.16678
2025-12-07,RUB,INR,1.16588
2025-12-08,RUB,INR,1.17252
2025-12-09,RUB,INR,1.16925
2025-12-10,RUB,INR,1.15377
