date,base,quote,rate
2025-06-22,RUB,USD,0.0127199
2025-06-23,RUB,USD,0.0127031
2025-06-24,RUB,USD,0.012741
2025-06-25,RUB,USD,0.0127655
2025-06-26,RUB,USD,0.0127359
2025-06-27,RUB,USD,0.0127182
2025-06-28,RUB,USD,0.0127388
2025-06-29,RUB,USD,0.0127282
2025-06-30,RUB,USD,0.0127145
2025-07-01,RUB,USD,0.0127547
2025-07-02,RUB,USD,0.0126964
2025-07-03,RUB,USD,0.0126606
2025-07-04,RUB,USD,0.012665
2025-07-05,RUB,USD,0.0126971
2025-07-06,RUB,USD,0.0126867
2025-07-07,RUB,USD,0.0126667
2025-07-08,RUB,USD,0.012744
2025-07-09,RUB,USD,0.0127763
2025-07-10,RUB,USD,0.0129536
2025-07-11,RUB,USD,0.0128388
2025-07-12,RUB,USD,0.0128197
2025-07-13,RUB,USD,0.0128075
2025-07-14,RUB,USD,0.0127849
2025-07-15,RUB,USD,0.0128144
2025-07-16,RUB,USD,0.0127893
2025-07-17,RUB,USD,0.0127967
2025-07-18,RUB,USD,0.0127689
2025-07-19,RUB,USD,0.0127378
2025-07-20,RUB,USD,0.0127266
2025-07-21,RUB,USD,0.0127277
2025-07-22,RUB,USD,0.0127647
2025-07-23,RUB,USD,0.0127429
2025-07-24,RUB,USD,0.0126584
2025-07-25,RUB,USD,0.0125861
2025-07-26,RUB,USD,0.0126012
2025-07-27,RUB,USD,0.012594
2025-07-28,RUB,USD,0.0124307
2025-07-29,RUB,USD,0.0122426
2025-07-30,RUB,USD,0.0122859
2025-07-31,RUB,USD,0.0123832
2025-08-01,RUB,USD,0.0124276
2025-08-02,RUB,USD,0.0124991
2025-08-03,RUB,USD,0.0124951
2025-08-04,RUB,USD,0.012526
2025-08-05,RUB,USD,0.0125
2025-08-06,RUB,USD,0.0124843
2025-08-07,RUB,USD,0.0125747
2025-08-08,RUB,USD,0.0125445
2025-08-09,RUB,USD,0.012499
2025-08-10,RUB,USD,0.012487
2025-08-11,RUB,USD,0.0125098
2025-08-12,RUB,USD,0.0125538
2025-08-13,RUB,USD,0.0125734
2025-08-14,RUB,USD,0.0125529
2025-08-15,RUB,USD,0.0125003
2025-08-16,RUB,USD,0.0124801
2025-08-17,RUB,USD,0.0124756
2025-08-18,RUB,USD,0.0124228
2025-08-19,RUB,USD,0.0123893
2025-08-20,RUB,USD,0.0124077
2025-08-21,RUB,USD,0.0124106
2025-08-22,RUB,USD,0.0124045
2025-08-23,RUB,USD,0.0124139
2025-08-24,RUB,USD,0.0124103
2025-08-25,RUB,USD,0.0123744
2025-08-26,RUB,USD,0.0124105
2025-08-27,RUB,USD,0.0124329
2025-08-28,RUB,USD,0.0124352
2025-08-29,RUB,USD,0.0124279
2025-08-30,RUB,USD,0.0124896
2025-08-31,RUB,USD,0.0125004
2025-09-01,RUB,USD,0.0123797
2025-09-02,RUB,USD,0.0124043
2025-09-03,RUB,USD,0.0123666
2025-09-04,RUB,USD,0.0123103
2025-09-05,RUB,USD,0.012294
2025-09-06,RUB,USD,0.0123087
2025-09-07,RUB,USD,0.0123084
2025-09-08,RUB,USD,0.0121932
2025-09-09,RUB,USD,0.0120041
2025-09-10,RUB,USD,0.0118474
2025-09-11,RUB,USD,0.0117976
2025-09-12,RUB,USD,0.011874
2025-09-13,RUB,USD,0.0119039
2025-09-14,RUB,USD,0.011902
2025-09-15,RUB,USD,0.0120036
2025-09-16,RUB,USD,0.012047
2025-09-17,RUB,USD,0.0119744
2025-09-18,RUB,USD,0.0119781
2025-09-19,RUB,USD,0.0119838
2025-09-20,RUB,USD,0.0119743
2025-09-21,RUB,USD,0.0119574
2025-09-22,RUB,USD,0.0119162
2025-09-23,RUB,USD,0.0119554
2025-09-24,RUB,USD,0.0119381
2025-09-25,RUB,USD,0.0119242
2025-09-26,RUB,USD,0.0119505
2025-09-27,RUB,USD,0.0119942
2025-09-28,RUB,USD,0.0119799
2025-09-29,RUB,USD,0.0119953
2025-09-30,RUB,USD,0.0120657
2025-10-01,RUB,USD,0.0121701
2025-10-02,RUB,USD,0.0121932
2025-10-03,RUB,USD,0.0121566
2025-10-04,RUB,USD,0.0121588
2025-10-05,RUB,USD,0.0121484
2025-10-06,RUB,USD,0.0120406
2025-10-07,RUB,USD,0.0121383
2025-10-08,RUB,USD,0.0122371
2025-10-09,RUB,USD,0.0122919
2025-10-10,RUB,USD,0.0122841
2025-10-11,RUB,USD,0.0122501
2025-10-12,RUB,USD,0.0122475
2025-10-13,RUB,USD,0.0123178
2025-10-14,RUB,USD,0.0124851
2025-10-15,RUB,USD,0.0126603
2025-10-16,RUB,USD,0.0125541
2025-10-17,RUB,USD,0.0123411
2025-10-18,RUB,USD,0.0123209
2025-10-19,RUB,USD,0.0123101
2025-10-20,RUB,USD,0.0123061
2025-10-21,RUB,USD,0.0123169
2025-10-22,RUB,USD,0.012256
2025-10-23,RUB,USD,0.01228
2025-10-24,RUB,USD,0.0123994
2025-10-25,RUB,USD,0.0125395
2025-10-26,RUB,USD,0.012534
2025-10-27,RUB,USD,0.0124974
2025-10-28,RUB,USD,0.0125743
2025-10-29,RUB,USD,0.0125456
2025-10-30,RUB,USD,0.0124884
2025-10-31,RUB,USD,0.012415
2025-11-01,RUB,USD,0.0123759
2025-11-02,RUB,USD,0.0123751
2025-11-03,RUB,USD,0.0123289
2025-11-04,RUB,USD,0.0123496
2025-11-05,RUB,USD,0.0123163
2025-11-06,RUB,USD,0.0122995
2025-11-07,RUB,USD,0.0123321
2025-11-08,RUB,USD,0.0123527
2025-11-09,RUB,USD,0.01234
2025-11-10,RUB,USD,0.012281
2025-11-11,RUB,USD,0.0123197
2025-11-12,RUB,USD,0.012319
2025-11-13,RUB,USD,0.0123641
2025-11-14,RUB,USD,0.0123682
2025-11-15,RUB,USD,0.0123678
2025-11-16,RUB,USD,0.0123563
2025-11-17,RUB,USD,0.0122783
2025-11-18,RUB,USD,0.0123252
2025-11-19,RUB,USD,0.0123808
2025-11-20,RUB,USD,0.0124502
2025-11-21,RUB,USD,0.0125978
2025-11-22,RUB,USD,0.0126434
2025-11-23,RUB,USD,0.0126368
2025-11-24,RUB,USD,0.0126569
2025-11-25,RUB,USD,0.0126914
2025-11-26,RUB,USD,0.012706
2025-11-27,RUB,USD,0.0127769
2025-11-28,RUB,USD,0.0128497
2025-11-29,RUB,USD,0.0129049
2025-11-30,RUB,USD,0.0128899
2025-12-01,RUB,USD,0.0128181
2025-12-02,RUB,USD,0.0128869
2025-12-03,RUB,USD,0.0128942
2025-12-04,RUB,USD,0.0130467
2025-12-05,RUB,USD,0.0130628
2025-12-06,RUB,USD,0.0129789
2025-12-07,RUB,USD,0.0129691
2025-12-08,RUB,USD,0.0130157
2025-12-09,RUB,USD,0.0130023
2025-12-10,RUB,USD,0.0128355
2025-12-11,RUB,USD,0.0125973
2025-12-12,RUB,USD,0.0125073
2025-12-13,RUB,USD,0.0124915
2025-12-14,RUB,USD,0.0124957
2025-12-15,RUB,USD,0.0125547
2025-12-16,RUB,USD,0.0125887
2025-12-17,RUB,USD,0.0124945
2025-12-18,RUB,USD,0.0124777
