date,base,quote,rate
2025-06-22,TRY,AED,0.0923927
2025-06-23,TRY,AED,0.0924441
2025-06-24,TRY,AED,0.092601
2025-06-25,TRY,AED,0.092444
2025-06-26,TRY,AED,0.0922832
2025-06-27,TRY,AED,0.0920325
2025-06-28,TRY,AED,0.0918208
2025-06-29,TRY,AED,0.091843
2025-06-30,TRY,AED,0.0921571
2025-07-01,TRY,AED,0.0921474
2025-07-02,TRY,AED,0.0921982
2025-07-03,TRY,AED,0.0921142
2025-07-04,TRY,AED,0.0921072
2025-07-05,TRY,AED,0.0920356
2025-07-06,TRY,AED,0.0920073
2025-07-07,TRY,AED,0.0918268
2025-07-08,TRY,AED,0.0917493
2025-07-09,TRY,AED,0.0916814
2025-07-10,TRY,AED,0.0916192
2025-07-11,TRY,AED,0.0914098
2025-07-12,TRY,AED,0.0913934
2025-07-13,TRY,AED,0.0913726
2025-07-14,TRY,AED,0.0912891
2025-07-15,TRY,AED,0.0912859
2025-07-16,TRY,AED,0.0912141
2025-07-17,TRY,AED,0.0911257
2025-07-18,TRY,AED,0.0909256
2025-07-19,TRY,AED,0.090856
2025-07-20,TRY,AED,0.0908562
2025-07-21,TRY,AED,0.0908953
2025-07-22,TRY,AED,0.0908363
2025-07-23,TRY,AED,0.0907722
2025-07-24,TRY,AED,0.0906865
2025-07-25,TRY,AED,0.0905533
2025-07-26,TRY,AED,0.0904976
2025-07-27,TRY,AED,0.0905017
2025-07-28,TRY,AED,0.0905309
2025-07-29,TRY,AED,0.0905014
2025-07-30,TRY,AED,0.0904825
2025-07-31,TRY,AED,0.0904411
2025-08-01,TRY,AED,0.090313
2025-08-02,TRY,AED,0.0903238
2025-08-03,TRY,AED,0.0903158
2025-08-04,TRY,AED,0.0902791
2025-08-05,TRY,AED,0.0902731
2025-08-06,TRY,AED,0.0902864
2025-08-07,TRY,AED,0.0903252
2025-08-08,TRY,AED,0.0902239
2025-08-09,TRY,AED,0.0902362
2025-08-10,TRY,AED,0.0902363
2025-08-11,TRY,AED,0.0902237
2025-08-12,TRY,AED,0.0901818
2025-08-13,TRY,AED,0.0901229
2025-08-14,TRY,AED,0.0900435
2025-08-15,TRY,AED,0.0898571
2025-08-16,TRY,AED,0.0898063
2025-08-17,TRY,AED,0.0898055
2025-08-18,TRY,AED,0.089812
2025-08-19,TRY,AED,0.0898098
2025-08-20,TRY,AED,0.0897436
2025-08-21,TRY,AED,0.0896987
2025-08-22,TRY,AED,0.0895764
2025-08-23,TRY,AED,0.0895459
2025-08-24,TRY,AED,0.0895459
2025-08-25,TRY,AED,0.0895624
2025-08-26,TRY,AED,0.0895148
2025-08-27,TRY,AED,0.0894722
2025-08-28,TRY,AED,0.0894365
2025-08-29,TRY,AED,0.0892817
2025-08-30,TRY,AED,0.0892333
2025-08-31,TRY,AED,0.0892332
2025-09-01,TRY,AED,0.0892868
2025-09-02,TRY,AED,0.0892506
2025-09-03,TRY,AED,0.0892092
2025-09-04,TRY,AED,0.0891906
2025-09-05,TRY,AED,0.0890593
2025-09-06,TRY,AED,0.0890235
2025-09-07,TRY,AED,0.0890238
2025-09-08,TRY,AED,0.0889948
2025-09-09,TRY,AED,0.0889741
2025-09-10,TRY,AED,0.0889494
2025-09-11,TRY,AED,0.0889276
2025-09-12,TRY,AED,0.088804
2025-09-13,TRY,AED,0.0887764
2025-09-14,TRY,AED,0.0887735
2025-09-15,TRY,AED,0.0888721
2025-09-16,TRY,AED,0.0889356
2025-09-17,TRY,AED,0.0889451
2025-09-18,TRY,AED,0.0889039
2025-09-19,TRY,AED,0.0887846
2025-09-20,TRY,AED,0.0887679
2025-09-21,TRY,AED,0.088768
2025-09-22,TRY,AED,0.0887605
2025-09-23,TRY,AED,0.0886971
2025-09-24,TRY,AED,0.0886015
2025-09-25,TRY,AED,0.0885416
2025-09-26,TRY,AED,0.0883819
2025-09-27,TRY,AED,0.0883331
2025-09-28,TRY,AED,0.0883334
2025-09-29,TRY,AED,0.08832
2025-09-30,TRY,AED,0.0883124
2025-10-01,TRY,AED,0.0883047
2025-10-02,TRY,AED,0.0882671
2025-10-03,TRY,AED,0.0881323
2025-10-04,TRY,AED,0.0881027
2025-10-05,TRY,AED,0.0881023
2025-10-06,TRY,AED,0.0880786
2025-10-07,TRY,AED,0.0880566
2025-10-08,TRY,AED,0.0880369
2025-10-09,TRY,AED,0.0879872
2025-10-10,TRY,AED,0.08784
2025-10-11,TRY,AED,0.0877941
2025-10-12,TRY,AED,0.0877944
2025-10-13,TRY,AED,0.0878288
2025-10-14,TRY,AED,0.0878023
2025-10-15,TRY,AED,0.087769
2025-10-16,TRY,AED,0.0877418
2025-10-17,TRY,AED,0.0875824
2025-10-18,TRY,AED,0.0875329
2025-10-19,TRY,AED,0.0875332
2025-10-20,TRY,AED,0.0875253
2025-10-21,TRY,AED,0.0875053
2025-10-22,TRY,AED,0.0874812
2025-10-23,TRY,AED,0.0874601
2025-10-24,TRY,AED,0.0874844
2025-10-25,TRY,AED,0.0875432
2025-10-26,TRY,AED,0.0875439
2025-10-27,TRY,AED,0.087562
2025-10-28,TRY,AED,0.087545
2025-10-29,TRY,AED,0.0875371
2025-10-30,TRY,AED,0.0874877
2025-10-31,TRY,AED,0.0873639
2025-11-01,TRY,AED,0.0873399
2025-11-02,TRY,AED,0.0873399
2025-11-03,TRY,AED,0.0873236
2025-11-04,TRY,AED,0.0872702
2025-11-05,TRY,AED,0.0872257
2025-11-06,TRY,AED,0.0871906
2025-11-07,TRY,AED,0.0870416
2025-11-08,TRY,AED,0.0869853
2025-11-09,TRY,AED,0.0869854
2025-11-10,TRY,AED,0.0869611
2025-11-11,TRY,AED,0.0869438
2025-11-12,TRY,AED,0.0869337
2025-11-13,TRY,AED,0.0869128
2025-11-14,TRY,AED,0.086795
2025-11-15,TRY,AED,0.0867619
2025-11-16,TRY,AED,0.0867619
2025-11-17,TRY,AED,0.0867628
2025-11-18,TRY,AED,0.0867422
2025-11-19,TRY,AED,0.0867039
2025-11-20,TRY,AED,0.0866703
2025-11-21,TRY,AED,0.0865616
2025-11-22,TRY,AED,0.0865286
2025-11-23,TRY,AED,0.0865284
2025-11-24,TRY,AED,0.0865355
2025-11-25,TRY,AED,0.0865453
2025-11-26,TRY,AED,0.0865186
2025-11-27,TRY,AED,0.0865223
2025-11-28,TRY,AED,0.0864555
2025-11-29,TRY,AED,0.0864442
2025-11-30,TRY,AED,0.0864442
2025-12-01,TRY,AED,0.0864759
2025-12-02,TRY,AED,0.0865239
2025-12-03,TRY,AED,0.0865023
2025-12-04,TRY,AED,0.0865005
2025-12-05,TRY,AED,0.0864183
2025-12-06,TRY,AED,0.0864122
2025-12-07,TRY,AED,0.0864118
2025-12-08,TRY,AED,0.0863143
2025-12-09,TRY,AED,0.0862385
2025-12-10,TRY,AED,0.086194
2025-12-11,TRY,AED,0.0861786
2025-12-12,TRY,AED,0.0860628
