date,base,quote,rate
2025-06-22,TRY,CNY,0.180741
2025-06-23,TRY,CNY,0.180848
2025-06-24,TRY,CNY,0.180941
2025-06-25,TRY,CNY,0.180568
2025-06-26,TRY,CNY,0.180216
2025-06-27,TRY,CNY,0.179686
2025-06-28,TRY,CNY,0.179336
2025-06-29,TRY,CNY,0.179378
2025-06-30,TRY,CNY,0.179856
2025-07-01,TRY,CNY,0.17974
2025-07-02,TRY,CNY,0.17988
2025-07-03,TRY,CNY,0.179709
2025-07-04,TRY,CNY,0.179686
2025-07-05,TRY,CNY,0.179543
2025-07-06,TRY,CNY,0.179487
2025-07-07,TRY,CNY,0.179293
2025-07-08,TRY,CNY,0.17922
2025-07-09,TRY,CNY,0.179189
2025-07-10,TRY,CNY,0.17906
2025-07-11,TRY,CNY,0.178479
2025-07-12,TRY,CNY,0.178366
2025-07-13,TRY,CNY,0.178326
2025-07-14,TRY,CNY,0.178163
2025-07-15,TRY,CNY,0.178237
2025-07-16,TRY,CNY,0.178225
2025-07-17,TRY,CNY,0.178146
2025-07-18,TRY,CNY,0.177746
2025-07-19,TRY,CNY,0.17755
2025-07-20,TRY,CNY,0.177552
2025-07-21,TRY,CNY,0.177582
2025-07-22,TRY,CNY,0.177432
2025-07-23,TRY,CNY,0.17709
2025-07-24,TRY,CNY,0.176708
2025-07-25,TRY,CNY,0.176539
2025-07-26,TRY,CNY,0.176468
2025-07-27,TRY,CNY,0.176475
2025-07-28,TRY,CNY,0.176694
2025-07-29,TRY,CNY,0.176857
2025-07-30,TRY,CNY,0.176907
2025-07-31,TRY,CNY,0.177041
2025-08-01,TRY,CNY,0.177092
2025-08-02,TRY,CNY,0.177109
2025-08-03,TRY,CNY,0.177106
2025-08-04,TRY,CNY,0.176689
2025-08-05,TRY,CNY,0.176526
2025-08-06,TRY,CNY,0.176615
2025-08-07,TRY,CNY,0.176612
2025-08-08,TRY,CNY,0.176422
2025-08-09,TRY,CNY,0.176416
2025-08-10,TRY,CNY,0.176416
2025-08-11,TRY,CNY,0.17648
2025-08-12,TRY,CNY,0.176427
2025-08-13,TRY,CNY,0.176109
2025-08-14,TRY,CNY,0.1759
2025-08-15,TRY,CNY,0.175678
2025-08-16,TRY,CNY,0.175596
2025-08-17,TRY,CNY,0.175597
2025-08-18,TRY,CNY,0.175635
2025-08-19,TRY,CNY,0.175656
2025-08-20,TRY,CNY,0.175422
2025-08-21,TRY,CNY,0.175313
2025-08-22,TRY,CNY,0.175012
2025-08-23,TRY,CNY,0.174727
2025-08-24,TRY,CNY,0.174727
2025-08-25,TRY,CNY,0.174582
2025-08-26,TRY,CNY,0.174369
2025-08-27,TRY,CNY,0.174297
2025-08-28,TRY,CNY,0.174001
2025-08-29,TRY,CNY,0.173535
2025-08-30,TRY,CNY,0.173267
2025-08-31,TRY,CNY,0.173266
2025-09-01,TRY,CNY,0.173427
2025-09-02,TRY,CNY,0.173469
2025-09-03,TRY,CNY,0.173482
2025-09-04,TRY,CNY,0.173439
2025-09-05,TRY,CNY,0.173083
2025-09-06,TRY,CNY,0.172882
2025-09-07,TRY,CNY,0.172886
2025-09-08,TRY,CNY,0.172814
2025-09-09,TRY,CNY,0.172624
2025-09-10,TRY,CNY,0.172492
2025-09-11,TRY,CNY,0.172425
2025-09-12,TRY,CNY,0.172205
2025-09-13,TRY,CNY,0.172185
2025-09-14,TRY,CNY,0.172185
2025-09-15,TRY,CNY,0.172337
2025-09-16,TRY,CNY,0.172343
2025-09-17,TRY,CNY,0.172166
2025-09-18,TRY,CNY,0.172064
2025-09-19,TRY,CNY,0.171979
2025-09-20,TRY,CNY,0.171961
2025-09-21,TRY,CNY,0.171963
2025-09-22,TRY,CNY,0.171928
2025-09-23,TRY,CNY,0.17179
2025-09-24,TRY,CNY,0.171806
2025-09-25,TRY,CNY,0.171909
2025-09-26,TRY,CNY,0.171691
2025-09-27,TRY,CNY,0.1716
2025-09-28,TRY,CNY,0.171599
2025-09-29,TRY,CNY,0.171351
2025-09-30,TRY,CNY,0.171214
2025-10-01,TRY,CNY,0.171187
2025-10-02,TRY,CNY,0.171117
2025-10-03,TRY,CNY,0.170855
2025-10-04,TRY,CNY,0.170777
2025-10-05,TRY,CNY,0.170777
2025-10-06,TRY,CNY,0.170753
2025-10-07,TRY,CNY,0.17071
2025-10-08,TRY,CNY,0.170669
2025-10-09,TRY,CNY,0.170678
2025-10-10,TRY,CNY,0.170381
2025-10-11,TRY,CNY,0.170153
2025-10-12,TRY,CNY,0.17016
2025-10-13,TRY,CNY,0.170231
2025-10-14,TRY,CNY,0.170439
2025-10-15,TRY,CNY,0.170428
2025-10-16,TRY,CNY,0.170226
2025-10-17,TRY,CNY,0.169917
2025-10-18,TRY,CNY,0.169871
2025-10-19,TRY,CNY,0.16987
2025-10-20,TRY,CNY,0.169759
2025-10-21,TRY,CNY,0.169654
2025-10-22,TRY,CNY,0.169704
2025-10-23,TRY,CNY,0.169677
2025-10-24,TRY,CNY,0.169694
2025-10-25,TRY,CNY,0.169752
2025-10-26,TRY,CNY,0.169752
2025-10-27,TRY,CNY,0.169599
2025-10-28,TRY,CNY,0.169294
2025-10-29,TRY,CNY,0.16917
2025-10-30,TRY,CNY,0.169237
2025-10-31,TRY,CNY,0.169161
2025-11-01,TRY,CNY,0.168986
2025-11-02,TRY,CNY,0.168994
2025-11-03,TRY,CNY,0.169344
2025-11-04,TRY,CNY,0.169251
2025-11-05,TRY,CNY,0.169272
2025-11-06,TRY,CNY,0.169097
2025-11-07,TRY,CNY,0.168746
2025-11-08,TRY,CNY,0.168634
2025-11-09,TRY,CNY,0.168634
