date,base,quote,rate
2025-06-22,TRY,EUR,0.0218443
2025-06-23,TRY,EUR,0.0218526
2025-06-24,TRY,EUR,0.0217236
2025-06-25,TRY,EUR,0.021654
2025-06-26,TRY,EUR,0.0214732
2025-06-27,TRY,EUR,0.0214003
2025-06-28,TRY,EUR,0.0213301
2025-06-29,TRY,EUR,0.0213335
2025-06-30,TRY,EUR,0.0213695
2025-07-01,TRY,EUR,0.0212757
2025-07-02,TRY,EUR,0.0212972
2025-07-03,TRY,EUR,0.0212958
2025-07-04,TRY,EUR,0.0212967
2025-07-05,TRY,EUR,0.0212717
2025-07-06,TRY,EUR,0.0212649
2025-07-07,TRY,EUR,0.0212982
2025-07-08,TRY,EUR,0.0212972
2025-07-09,TRY,EUR,0.0213099
2025-07-10,TRY,EUR,0.0212941
2025-07-11,TRY,EUR,0.021295
2025-07-12,TRY,EUR,0.0212811
2025-07-13,TRY,EUR,0.0212807
2025-07-14,TRY,EUR,0.0212847
2025-07-15,TRY,EUR,0.02134
2025-07-16,TRY,EUR,0.0213696
2025-07-17,TRY,EUR,0.0213881
2025-07-18,TRY,EUR,0.021282
2025-07-19,TRY,EUR,0.0212704
2025-07-20,TRY,EUR,0.0212702
2025-07-21,TRY,EUR,0.0212215
2025-07-22,TRY,EUR,0.0211145
2025-07-23,TRY,EUR,0.0210415
2025-07-24,TRY,EUR,0.0209904
2025-07-25,TRY,EUR,0.0210035
2025-07-26,TRY,EUR,0.0209814
2025-07-27,TRY,EUR,0.0209791
2025-07-28,TRY,EUR,0.0211326
2025-07-29,TRY,EUR,0.0213154
2025-07-30,TRY,EUR,0.0214148
2025-07-31,TRY,EUR,0.021543
2025-08-01,TRY,EUR,0.0214072
2025-08-02,TRY,EUR,0.0212216
2025-08-03,TRY,EUR,0.0212196
2025-08-04,TRY,EUR,0.0212413
2025-08-05,TRY,EUR,0.0212603
2025-08-06,TRY,EUR,0.0211666
2025-08-07,TRY,EUR,0.0210964
2025-08-08,TRY,EUR,0.0210827
2025-08-09,TRY,EUR,0.0211004
2025-08-10,TRY,EUR,0.0210995
2025-08-11,TRY,EUR,0.0211155
2025-08-12,TRY,EUR,0.0210936
2025-08-13,TRY,EUR,0.0209699
2025-08-14,TRY,EUR,0.0210019
2025-08-15,TRY,EUR,0.0209351
2025-08-16,TRY,EUR,0.0208832
2025-08-17,TRY,EUR,0.0208826
2025-08-18,TRY,EUR,0.0209357
2025-08-19,TRY,EUR,0.0209683
2025-08-20,TRY,EUR,0.0209811
2025-08-21,TRY,EUR,0.0209982
2025-08-22,TRY,EUR,0.0209346
2025-08-23,TRY,EUR,0.0207975
2025-08-24,TRY,EUR,0.0207987
2025-08-25,TRY,EUR,0.0208862
2025-08-26,TRY,EUR,0.0209396
2025-08-27,TRY,EUR,0.0209714
2025-08-28,TRY,EUR,0.0208808
2025-08-29,TRY,EUR,0.0208188
2025-08-30,TRY,EUR,0.020791
2025-08-31,TRY,EUR,0.0207901
2025-09-01,TRY,EUR,0.0207608
2025-09-02,TRY,EUR,0.0208422
2025-09-03,TRY,EUR,0.0208507
2025-09-04,TRY,EUR,0.0208473
2025-09-05,TRY,EUR,0.0207249
2025-09-06,TRY,EUR,0.0206802
2025-09-07,TRY,EUR,0.0206817
2025-09-08,TRY,EUR,0.0206482
2025-09-09,TRY,EUR,0.0206323
2025-09-10,TRY,EUR,0.0206909
2025-09-11,TRY,EUR,0.0206745
2025-09-12,TRY,EUR,0.0206177
2025-09-13,TRY,EUR,0.0205932
2025-09-14,TRY,EUR,0.0205944
2025-09-15,TRY,EUR,0.0205951
2025-09-16,TRY,EUR,0.0204892
2025-09-17,TRY,EUR,0.0204462
2025-09-18,TRY,EUR,0.0205117
2025-09-19,TRY,EUR,0.0205566
2025-09-20,TRY,EUR,0.0205716
2025-09-21,TRY,EUR,0.0205731
2025-09-22,TRY,EUR,0.0205369
2025-09-23,TRY,EUR,0.020461
2025-09-24,TRY,EUR,0.0205085
2025-09-25,TRY,EUR,0.0205893
2025-09-26,TRY,EUR,0.0205957
2025-09-27,TRY,EUR,0.0205575
2025-09-28,TRY,EUR,0.0205564
2025-09-29,TRY,EUR,0.0205088
2025-09-30,TRY,EUR,0.0204875
2025-10-01,TRY,EUR,0.0204801
2025-10-02,TRY,EUR,0.0204886
2025-10-03,TRY,EUR,0.0204515
2025-10-04,TRY,EUR,0.0204263
2025-10-05,TRY,EUR,0.0204315
2025-10-06,TRY,EUR,0.0204933
2025-10-07,TRY,EUR,0.0205369
2025-10-08,TRY,EUR,0.0206225
2025-10-09,TRY,EUR,0.0206533
2025-10-10,TRY,EUR,0.020641
2025-10-11,TRY,EUR,0.0205651
2025-10-12,TRY,EUR,0.0205692
2025-10-13,TRY,EUR,0.0206366
2025-10-14,TRY,EUR,0.0206425
2025-10-15,TRY,EUR,0.0205492
2025-10-16,TRY,EUR,0.0204735
2025-10-17,TRY,EUR,0.0204092
2025-10-18,TRY,EUR,0.0204574
2025-10-19,TRY,EUR,0.0204557
2025-10-20,TRY,EUR,0.0204459
2025-10-21,TRY,EUR,0.0205071
2025-10-22,TRY,EUR,0.0205273
2025-10-23,TRY,EUR,0.0205227
2025-10-24,TRY,EUR,0.0205016
2025-10-25,TRY,EUR,0.0205026
2025-10-26,TRY,EUR,0.0205015
2025-10-27,TRY,EUR,0.0204888
2025-10-28,TRY,EUR,0.02045
2025-10-29,TRY,EUR,0.0204907
2025-10-30,TRY,EUR,0.0205496
2025-10-31,TRY,EUR,0.0205915
2025-11-01,TRY,EUR,0.0206114
2025-11-02,TRY,EUR,0.0206119
2025-11-03,TRY,EUR,0.0206335
2025-11-04,TRY,EUR,0.0206664
2025-11-05,TRY,EUR,0.0206769
2025-11-06,TRY,EUR,0.0206024
2025-11-07,TRY,EUR,0.0205133
2025-11-08,TRY,EUR,0.0204773
2025-11-09,TRY,EUR,0.0204793
2025-11-10,TRY,EUR,0.0204821
2025-11-11,TRY,EUR,0.0204549
2025-11-12,TRY,EUR,0.0204395
2025-11-13,TRY,EUR,0.0203743
2025-11-14,TRY,EUR,0.0203252
2025-11-15,TRY,EUR,0.0203231
2025-11-16,TRY,EUR,0.0203232
2025-11-17,TRY,EUR,0.0203688
2025-11-18,TRY,EUR,0.0203807
2025-11-19,TRY,EUR,0.0204174
2025-11-20,TRY,EUR,0.0204771
2025-11-21,TRY,EUR,0.0204541
2025-11-22,TRY,EUR,0.0204602
2025-11-23,TRY,EUR,0.0204604
2025-11-24,TRY,EUR,0.0204447
2025-11-25,TRY,EUR,0.0204116
2025-11-26,TRY,EUR,0.0203376
2025-11-27,TRY,EUR,0.0203192
2025-11-28,TRY,EUR,0.0203158
2025-11-29,TRY,EUR,0.020285
2025-11-30,TRY,EUR,0.0202854
2025-12-01,TRY,EUR,0.0202744
2025-12-02,TRY,EUR,0.0202896
2025-12-03,TRY,EUR,0.0202087
2025-12-04,TRY,EUR,0.0201991
2025-12-05,TRY,EUR,0.0201995
2025-12-06,TRY,EUR,0.0202036
2025-12-07,TRY,EUR,0.0202037
2025-12-08,TRY,EUR,0.0201821
2025-12-09,TRY,EUR,0.0201784
2025-12-10,TRY,EUR,0.0201501
2025-12-11,TRY,EUR,0.020023
2025-12-12,TRY,EUR,0.0199669
2025-12-13,TRY,EUR,0.0199473
