date,base,quote,rate
2025-06-22,TRY,GBP,0.0187073
2025-06-23,TRY,GBP,0.0187088
2025-06-24,TRY,GBP,0.0185443
2025-06-25,TRY,GBP,0.0184683
2025-06-26,TRY,GBP,0.0183089
2025-06-27,TRY,GBP,0.0182585
2025-06-28,TRY,GBP,0.01822
2025-06-29,TRY,GBP,0.0182246
2025-06-30,TRY,GBP,0.0182978
2025-07-01,TRY,GBP,0.0182556
2025-07-02,TRY,GBP,0.0183534
2025-07-03,TRY,GBP,0.0183763
2025-07-04,TRY,GBP,0.0183645
2025-07-05,TRY,GBP,0.0183484
2025-07-06,TRY,GBP,0.0183428
2025-07-07,TRY,GBP,0.0183607
2025-07-08,TRY,GBP,0.0183678
2025-07-09,TRY,GBP,0.0183702
2025-07-10,TRY,GBP,0.0183576
2025-07-11,TRY,GBP,0.0184009
2025-07-12,TRY,GBP,0.0184404
2025-07-13,TRY,GBP,0.0184367
2025-07-14,TRY,GBP,0.018462
2025-07-15,TRY,GBP,0.018523
2025-07-16,TRY,GBP,0.0185273
2025-07-17,TRY,GBP,0.0185101
2025-07-18,TRY,GBP,0.0184316
2025-07-19,TRY,GBP,0.0184427
2025-07-20,TRY,GBP,0.0184417
2025-07-21,TRY,GBP,0.018386
2025-07-22,TRY,GBP,0.0183235
2025-07-23,TRY,GBP,0.0182401
2025-07-24,TRY,GBP,0.0182298
2025-07-25,TRY,GBP,0.0183197
2025-07-26,TRY,GBP,0.0183359
2025-07-27,TRY,GBP,0.0183367
2025-07-28,TRY,GBP,0.0183881
2025-07-29,TRY,GBP,0.0184646
2025-07-30,TRY,GBP,0.0184981
2025-07-31,TRY,GBP,0.0186077
2025-08-01,TRY,GBP,0.0185938
2025-08-02,TRY,GBP,0.0185179
2025-08-03,TRY,GBP,0.0185155
2025-08-04,TRY,GBP,0.0185005
2025-08-05,TRY,GBP,0.0184942
2025-08-06,TRY,GBP,0.0184469
2025-08-07,TRY,GBP,0.0183553
2025-08-08,TRY,GBP,0.0182733
2025-08-09,TRY,GBP,0.0182583
2025-08-10,TRY,GBP,0.0182598
2025-08-11,TRY,GBP,0.0182767
2025-08-12,TRY,GBP,0.0182286
2025-08-13,TRY,GBP,0.0181085
2025-08-14,TRY,GBP,0.0180818
2025-08-15,TRY,GBP,0.0180516
2025-08-16,TRY,GBP,0.0180346
2025-08-17,TRY,GBP,0.0180341
2025-08-18,TRY,GBP,0.0180694
2025-08-19,TRY,GBP,0.018111
2025-08-20,TRY,GBP,0.0181355
2025-08-21,TRY,GBP,0.0181722
2025-08-22,TRY,GBP,0.018121
2025-08-23,TRY,GBP,0.0180142
2025-08-24,TRY,GBP,0.0180165
2025-08-25,TRY,GBP,0.0180762
2025-08-26,TRY,GBP,0.0180916
2025-08-27,TRY,GBP,0.0180905
2025-08-28,TRY,GBP,0.0180268
2025-08-29,TRY,GBP,0.0180178
2025-08-30,TRY,GBP,0.0179845
2025-08-31,TRY,GBP,0.0179852
2025-09-01,TRY,GBP,0.0179654
2025-09-02,TRY,GBP,0.0180918
2025-09-03,TRY,GBP,0.0181143
2025-09-04,TRY,GBP,0.0180778
2025-09-05,TRY,GBP,0.0179778
2025-09-06,TRY,GBP,0.0179364
2025-09-07,TRY,GBP,0.0179392
2025-09-08,TRY,GBP,0.0179164
2025-09-09,TRY,GBP,0.0178776
2025-09-10,TRY,GBP,0.0178943
2025-09-11,TRY,GBP,0.0178784
2025-09-12,TRY,GBP,0.0178365
2025-09-13,TRY,GBP,0.0178187
2025-09-14,TRY,GBP,0.0178194
2025-09-15,TRY,GBP,0.0178078
2025-09-16,TRY,GBP,0.0177572
2025-09-17,TRY,GBP,0.0177461
2025-09-18,TRY,GBP,0.0178104
2025-09-19,TRY,GBP,0.0179076
2025-09-20,TRY,GBP,0.0179389
2025-09-21,TRY,GBP,0.0179392
2025-09-22,TRY,GBP,0.0179106
2025-09-23,TRY,GBP,0.0178681
2025-09-24,TRY,GBP,0.017907
2025-09-25,TRY,GBP,0.0179885
2025-09-26,TRY,GBP,0.0179927
2025-09-27,TRY,GBP,0.0179422
2025-09-28,TRY,GBP,0.0179422
2025-09-29,TRY,GBP,0.0179025
2025-09-30,TRY,GBP,0.0178887
2025-10-01,TRY,GBP,0.0178469
2025-10-02,TRY,GBP,0.0178527
2025-10-03,TRY,GBP,0.0178298
2025-10-04,TRY,GBP,0.0177903
2025-10-05,TRY,GBP,0.0177974
2025-10-06,TRY,GBP,0.0178216
2025-10-07,TRY,GBP,0.0178375
2025-10-08,TRY,GBP,0.0178846
2025-10-09,TRY,GBP,0.0179417
2025-10-10,TRY,GBP,0.0179603
2025-10-11,TRY,GBP,0.0178873
2025-10-12,TRY,GBP,0.0178905
2025-10-13,TRY,GBP,0.0179287
2025-10-14,TRY,GBP,0.0179638
2025-10-15,TRY,GBP,0.0178809
2025-10-16,TRY,GBP,0.0177891
2025-10-17,TRY,GBP,0.0177539
2025-10-18,TRY,GBP,0.0177449
2025-10-19,TRY,GBP,0.0177454
2025-10-20,TRY,GBP,0.0177585
2025-10-21,TRY,GBP,0.0178045
2025-10-22,TRY,GBP,0.0178407
2025-10-23,TRY,GBP,0.0178593
2025-10-24,TRY,GBP,0.0178877
2025-10-25,TRY,GBP,0.017901
2025-10-26,TRY,GBP,0.0178997
2025-10-27,TRY,GBP,0.0178849
2025-10-28,TRY,GBP,0.0179101
2025-10-29,TRY,GBP,0.0180248
2025-10-30,TRY,GBP,0.0180803
2025-10-31,TRY,GBP,0.0181019
2025-11-01,TRY,GBP,0.0180764
2025-11-02,TRY,GBP,0.0180783
2025-11-03,TRY,GBP,0.0181
2025-11-04,TRY,GBP,0.0181778
2025-11-05,TRY,GBP,0.0182217
2025-11-06,TRY,GBP,0.0181347
2025-11-07,TRY,GBP,0.018043
2025-11-08,TRY,GBP,0.0179902
2025-11-09,TRY,GBP,0.0179915
2025-11-10,TRY,GBP,0.0179861
2025-11-11,TRY,GBP,0.0179927
2025-11-12,TRY,GBP,0.0180281
2025-11-13,TRY,GBP,0.0179848
2025-11-14,TRY,GBP,0.0179648
2025-11-15,TRY,GBP,0.0179226
2025-11-16,TRY,GBP,0.017924
2025-11-17,TRY,GBP,0.0179489
2025-11-18,TRY,GBP,0.0179586
2025-11-19,TRY,GBP,0.018012
2025-11-20,TRY,GBP,0.0180572
2025-11-21,TRY,GBP,0.0180098
2025-11-22,TRY,GBP,0.0179795
2025-11-23,TRY,GBP,0.0179797
2025-11-24,TRY,GBP,0.0179862
2025-11-25,TRY,GBP,0.0179303
2025-11-26,TRY,GBP,0.017847
2025-11-27,TRY,GBP,0.0177942
2025-11-28,TRY,GBP,0.0177945
2025-11-29,TRY,GBP,0.0177792
2025-11-30,TRY,GBP,0.0177793
2025-12-01,TRY,GBP,0.0178
2025-12-02,TRY,GBP,0.0178392
2025-12-03,TRY,GBP,0.0177236
2025-12-04,TRY,GBP,0.0176534
2025-12-05,TRY,GBP,0.0176415
2025-12-06,TRY,GBP,0.0176397
2025-12-07,TRY,GBP,0.0176404
2025-12-08,TRY,GBP,0.0176368
2025-12-09,TRY,GBP,0.0176303
2025-12-10,TRY,GBP,0.0176096
2025-12-11,TRY,GBP,0.0175261
2025-12-12,TRY,GBP,0.0175169
2025-12-13,TRY,GBP,0.0175097
2025-12-14,TRY,GBP,0.0175098
2025-12-15,TRY,GBP,0.0175099
2025-12-16,TRY,GBP,0.0174673
2025-12-17,TRY,GBP,0.0175017
2025-12-18,TRY,GBP,0.0174918
