date,base,quote,rate
2025-06-22,TRY,KZT,13.0692
2025-06-23,TRY,KZT,13.1166
2025-06-24,TRY,KZT,13.0277
2025-06-25,TRY,KZT,13.0122
2025-06-26,TRY,KZT,12.9727
2025-06-27,TRY,KZT,12.9859
2025-06-28,TRY,KZT,12.9491
2025-06-29,TRY,KZT,12.9522
2025-06-30,TRY,KZT,13.0114
2025-07-01,TRY,KZT,12.994
2025-07-02,TRY,KZT,12.9855
2025-07-03,TRY,KZT,12.9792
2025-07-04,TRY,KZT,12.9952
2025-07-05,TRY,KZT,12.9758
2025-07-06,TRY,KZT,12.9718
2025-07-07,TRY,KZT,12.9522
2025-07-08,TRY,KZT,12.9353
2025-07-09,TRY,KZT,12.9201
2025-07-10,TRY,KZT,12.8981
2025-07-11,TRY,KZT,12.9424
2025-07-12,TRY,KZT,12.9792
2025-07-13,TRY,KZT,12.9763
2025-07-14,TRY,KZT,12.9793
2025-07-15,TRY,KZT,13.0256
2025-07-16,TRY,KZT,13.0743
2025-07-17,TRY,KZT,13.1468
2025-07-18,TRY,KZT,13.1504
2025-07-19,TRY,KZT,13.1373
2025-07-20,TRY,KZT,13.1372
2025-07-21,TRY,KZT,13.1096
2025-07-22,TRY,KZT,13.1204
2025-07-23,TRY,KZT,13.2219
2025-07-24,TRY,KZT,13.3181
2025-07-25,TRY,KZT,13.3838
2025-07-26,TRY,KZT,13.3958
2025-07-27,TRY,KZT,13.3965
2025-07-28,TRY,KZT,13.354
2025-07-29,TRY,KZT,13.3539
2025-07-30,TRY,KZT,13.3605
2025-07-31,TRY,KZT,13.2942
2025-08-01,TRY,KZT,13.289
2025-08-02,TRY,KZT,13.309
2025-08-03,TRY,KZT,13.2988
2025-08-04,TRY,KZT,13.225
2025-08-05,TRY,KZT,13.2009
2025-08-06,TRY,KZT,13.1765
2025-08-07,TRY,KZT,13.1963
2025-08-08,TRY,KZT,13.2274
2025-08-09,TRY,KZT,13.2389
2025-08-10,TRY,KZT,13.2389
2025-08-11,TRY,KZT,13.2913
2025-08-12,TRY,KZT,13.2813
2025-08-13,TRY,KZT,13.1988
2025-08-14,TRY,KZT,13.1739
2025-08-15,TRY,KZT,13.1877
2025-08-16,TRY,KZT,13.1948
2025-08-17,TRY,KZT,13.1954
2025-08-18,TRY,KZT,13.1631
2025-08-19,TRY,KZT,13.1354
2025-08-20,TRY,KZT,13.1206
2025-08-21,TRY,KZT,13.0988
2025-08-22,TRY,KZT,13.0818
2025-08-23,TRY,KZT,13.0653
2025-08-24,TRY,KZT,13.0659
2025-08-25,TRY,KZT,13.0061
2025-08-26,TRY,KZT,13.0184
2025-08-27,TRY,KZT,13.0587
2025-08-28,TRY,KZT,13.0722
2025-08-29,TRY,KZT,13.0504
2025-08-30,TRY,KZT,13.0522
2025-08-31,TRY,KZT,13.0522
2025-09-01,TRY,KZT,13.0493
2025-09-02,TRY,KZT,13.0761
2025-09-03,TRY,KZT,13.0802
2025-09-04,TRY,KZT,13.0754
2025-09-05,TRY,KZT,13.0155
2025-09-06,TRY,KZT,12.98
2025-09-07,TRY,KZT,12.98
2025-09-08,TRY,KZT,12.9346
2025-09-09,TRY,KZT,12.9435
2025-09-10,TRY,KZT,13.0076
2025-09-11,TRY,KZT,13.0172
2025-09-12,TRY,KZT,13.0143
2025-09-13,TRY,KZT,13.0363
2025-09-14,TRY,KZT,13.0364
2025-09-15,TRY,KZT,13.0498
2025-09-16,TRY,KZT,13.055
2025-09-17,TRY,KZT,13.0553
2025-09-18,TRY,KZT,13.0728
2025-09-19,TRY,KZT,13.0588
2025-09-20,TRY,KZT,13.0505
2025-09-21,TRY,KZT,13.0505
2025-09-22,TRY,KZT,13.0908
2025-09-23,TRY,KZT,13.1134
