date,base,quote,rate
2025-06-22,TRY,RUB,1.97252
2025-06-23,TRY,RUB,1.9702
2025-06-24,TRY,RUB,1.97828
2025-06-25,TRY,RUB,1.97023
2025-06-26,TRY,RUB,1.97223
2025-06-27,TRY,RUB,1.96955
2025-06-28,TRY,RUB,1.96269
2025-06-29,TRY,RUB,1.96177
2025-06-30,TRY,RUB,1.96159
2025-07-01,TRY,RUB,1.96625
2025-07-02,TRY,RUB,1.97612
2025-07-03,TRY,RUB,1.98
2025-07-04,TRY,RUB,1.97937
2025-07-05,TRY,RUB,1.97344
2025-07-06,TRY,RUB,1.97143
2025-07-07,TRY,RUB,1.9634
2025-07-08,TRY,RUB,1.95944
2025-07-09,TRY,RUB,1.95319
2025-07-10,TRY,RUB,1.92515
2025-07-11,TRY,RUB,1.93761
2025-07-12,TRY,RUB,1.94084
2025-07-13,TRY,RUB,1.93921
2025-07-14,TRY,RUB,1.93835
2025-07-15,TRY,RUB,1.93911
2025-07-16,TRY,RUB,1.94119
2025-07-17,TRY,RUB,1.93825
2025-07-18,TRY,RUB,1.93833
2025-07-19,TRY,RUB,1.94181
2025-07-20,TRY,RUB,1.94051
2025-07-21,TRY,RUB,1.93309
2025-07-22,TRY,RUB,1.93696
2025-07-23,TRY,RUB,1.9387
2025-07-24,TRY,RUB,1.94994
2025-07-25,TRY,RUB,1.95827
2025-07-26,TRY,RUB,1.95517
2025-07-27,TRY,RUB,1.95341
2025-07-28,TRY,RUB,1.97521
2025-07-29,TRY,RUB,2.01112
2025-07-30,TRY,RUB,2.00185
2025-07-31,TRY,RUB,1.987
2025-08-01,TRY,RUB,1.9759
2025-08-02,TRY,RUB,1.96729
2025-08-03,TRY,RUB,1.96405
2025-08-04,TRY,RUB,1.95893
2025-08-05,TRY,RUB,1.96481
2025-08-06,TRY,RUB,1.96775
2025-08-07,TRY,RUB,1.9541
2025-08-08,TRY,RUB,1.95661
2025-08-09,TRY,RUB,1.96549
2025-08-10,TRY,RUB,1.96215
2025-08-11,TRY,RUB,1.95065
2025-08-12,TRY,RUB,1.9544
2025-08-13,TRY,RUB,1.95135
2025-08-14,TRY,RUB,1.95284
2025-08-15,TRY,RUB,1.95704
2025-08-16,TRY,RUB,1.95907
2025-08-17,TRY,RUB,1.95682
2025-08-18,TRY,RUB,1.95765
2025-08-19,TRY,RUB,1.97147
2025-08-20,TRY,RUB,1.96689
2025-08-21,TRY,RUB,1.96624
2025-08-22,TRY,RUB,1.96429
2025-08-23,TRY,RUB,1.96382
2025-08-24,TRY,RUB,1.95928
2025-08-25,TRY,RUB,1.95596
2025-08-26,TRY,RUB,1.96185
2025-08-27,TRY,RUB,1.95761
2025-08-28,TRY,RUB,1.958
2025-08-29,TRY,RUB,1.95427
2025-08-30,TRY,RUB,1.94541
2025-08-31,TRY,RUB,1.94338
2025-09-01,TRY,RUB,1.95107
2025-09-02,TRY,RUB,1.95774
2025-09-03,TRY,RUB,1.96259
2025-09-04,TRY,RUB,1.97117
2025-09-05,TRY,RUB,1.97122
2025-09-06,TRY,RUB,1.96905
2025-09-07,TRY,RUB,1.96908
2025-09-08,TRY,RUB,1.98597
2025-09-09,TRY,RUB,2.0168
2025-09-10,TRY,RUB,2.04259
2025-09-11,TRY,RUB,2.05072
2025-09-12,TRY,RUB,2.0338
2025-09-13,TRY,RUB,2.0303
2025-09-14,TRY,RUB,2.02779
2025-09-15,TRY,RUB,2.00205
2025-09-16,TRY,RUB,2.00915
2025-09-17,TRY,RUB,2.02101
2025-09-18,TRY,RUB,2.01924
2025-09-19,TRY,RUB,2.01557
2025-09-20,TRY,RUB,2.01852
2025-09-21,TRY,RUB,2.01633
2025-09-22,TRY,RUB,2.01521
2025-09-23,TRY,RUB,2.01889
2025-09-24,TRY,RUB,2.01971
2025-09-25,TRY,RUB,2.02056
2025-09-26,TRY,RUB,2.01235
2025-09-27,TRY,RUB,2.00535
2025-09-28,TRY,RUB,2.0027
2025-09-29,TRY,RUB,1.99231
2025-09-30,TRY,RUB,1.98846
2025-10-01,TRY,RUB,1.9734
2025-10-02,TRY,RUB,1.9695
2025-10-03,TRY,RUB,1.97245
2025-10-04,TRY,RUB,1.97278
2025-10-05,TRY,RUB,1.97157
2025-10-06,TRY,RUB,1.98094
2025-10-07,TRY,RUB,1.97244
2025-10-08,TRY,RUB,1.95623
2025-10-09,TRY,RUB,1.94707
2025-10-10,TRY,RUB,1.94595
2025-10-11,TRY,RUB,1.95146
2025-10-12,TRY,RUB,1.94676
2025-10-13,TRY,RUB,1.92831
2025-10-14,TRY,RUB,1.91244
2025-10-15,TRY,RUB,1.8854
2025-10-16,TRY,RUB,1.90144
2025-10-17,TRY,RUB,1.93058
2025-10-18,TRY,RUB,1.93448
2025-10-19,TRY,RUB,1.93362
2025-10-20,TRY,RUB,1.92653
2025-10-21,TRY,RUB,1.93293
2025-10-22,TRY,RUB,1.94177
2025-10-23,TRY,RUB,1.93786
2025-10-24,TRY,RUB,1.91947
2025-10-25,TRY,RUB,1.9009
2025-10-26,TRY,RUB,1.9006
2025-10-27,TRY,RUB,1.89268
2025-10-28,TRY,RUB,1.89346
2025-10-29,TRY,RUB,1.89631
2025-10-30,TRY,RUB,1.90572
2025-10-31,TRY,RUB,1.91493
2025-11-01,TRY,RUB,1.92125
2025-11-02,TRY,RUB,1.92137
2025-11-03,TRY,RUB,1.9211
2025-11-04,TRY,RUB,1.92392
2025-11-05,TRY,RUB,1.92827
2025-11-06,TRY,RUB,1.93024
2025-11-07,TRY,RUB,1.92182
2025-11-08,TRY,RUB,1.91739
2025-11-09,TRY,RUB,1.91601
2025-11-10,TRY,RUB,1.91481
2025-11-11,TRY,RUB,1.92148
2025-11-12,TRY,RUB,1.9213
2025-11-13,TRY,RUB,1.91387
2025-11-14,TRY,RUB,1.91062
2025-11-15,TRY,RUB,1.90979
2025-11-16,TRY,RUB,1.9082
2025-11-17,TRY,RUB,1.9117
2025-11-18,TRY,RUB,1.91602
2025-11-19,TRY,RUB,1.90661
2025-11-20,TRY,RUB,1.8953
2025-11-21,TRY,RUB,1.87063
2025-11-22,TRY,RUB,1.86314
2025-11-23,TRY,RUB,1.86199
2025-11-24,TRY,RUB,1.84708
2025-11-25,TRY,RUB,1.85546
2025-11-26,TRY,RUB,1.8522
2025-11-27,TRY,RUB,1.84234
2025-11-28,TRY,RUB,1.83054
2025-11-29,TRY,RUB,1.82364
2025-11-30,TRY,RUB,1.82242
2025-12-01,TRY,RUB,1.8227
2025-12-02,TRY,RUB,1.82673
2025-12-03,TRY,RUB,1.81223
2025-12-04,TRY,RUB,1.80356
2025-12-05,TRY,RUB,1.79002
2025-12-06,TRY,RUB,1.78613
2025-12-07,TRY,RUB,1.78518
2025-12-08,TRY,RUB,1.79568
2025-12-09,TRY,RUB,1.80422
2025-12-10,TRY,RUB,1.82288
2025-12-11,TRY,RUB,1.8565
2025-12-12,TRY,RUB,1.86293
2025-12-13,TRY,RUB,1.87477
