date,base,quote,rate
2025-06-22,TRY,USD,0.0251618
2025-06-23,TRY,USD,0.0251754
2025-06-24,TRY,USD,0.0252178
2025-06-25,TRY,USD,0.0251748
2025-06-26,TRY,USD,0.0251314
2025-06-27,TRY,USD,0.0250624
2025-06-28,TRY,USD,0.0250048
2025-06-29,TRY,USD,0.0250109
2025-06-30,TRY,USD,0.0250958
2025-07-01,TRY,USD,0.0250911
2025-07-02,TRY,USD,0.0251046
2025-07-03,TRY,USD,0.0250813
2025-07-04,TRY,USD,0.0250795
2025-07-05,TRY,USD,0.0250593
2025-07-06,TRY,USD,0.0250516
2025-07-07,TRY,USD,0.0250034
2025-07-08,TRY,USD,0.0249823
2025-07-09,TRY,USD,0.0249647
2025-07-10,TRY,USD,0.0249471
2025-07-11,TRY,USD,0.0248892
2025-07-12,TRY,USD,0.0248833
2025-07-13,TRY,USD,0.0248777
2025-07-14,TRY,USD,0.0248557
2025-07-15,TRY,USD,0.024856
2025-07-16,TRY,USD,0.0248361
2025-07-17,TRY,USD,0.0248122
2025-07-18,TRY,USD,0.0247573
2025-07-19,TRY,USD,0.0247368
2025-07-20,TRY,USD,0.0247369
2025-07-21,TRY,USD,0.0247499
2025-07-22,TRY,USD,0.024734
2025-07-23,TRY,USD,0.0247156
2025-07-24,TRY,USD,0.0246927
2025-07-25,TRY,USD,0.0246564
2025-07-26,TRY,USD,0.02464
2025-07-27,TRY,USD,0.0246411
2025-07-28,TRY,USD,0.0246503
2025-07-29,TRY,USD,0.0246419
2025-07-30,TRY,USD,0.024637
2025-07-31,TRY,USD,0.0246255
2025-08-01,TRY,USD,0.0245902
2025-08-02,TRY,USD,0.0245918
2025-08-03,TRY,USD,0.0245896
2025-08-04,TRY,USD,0.0245814
2025-08-05,TRY,USD,0.0245799
2025-08-06,TRY,USD,0.0245836
2025-08-07,TRY,USD,0.0245947
2025-08-08,TRY,USD,0.0245665
2025-08-09,TRY,USD,0.0245691
2025-08-10,TRY,USD,0.0245691
2025-08-11,TRY,USD,0.024567
2025-08-12,TRY,USD,0.024556
2025-08-13,TRY,USD,0.0245398
2025-08-14,TRY,USD,0.0245184
2025-08-15,TRY,USD,0.0244676
2025-08-16,TRY,USD,0.0244517
2025-08-17,TRY,USD,0.0244517
2025-08-18,TRY,USD,0.0244569
2025-08-19,TRY,USD,0.0244558
2025-08-20,TRY,USD,0.0244388
2025-08-21,TRY,USD,0.024427
2025-08-22,TRY,USD,0.0243918
2025-08-23,TRY,USD,0.0243809
2025-08-24,TRY,USD,0.0243809
2025-08-25,TRY,USD,0.0243888
2025-08-26,TRY,USD,0.0243769
2025-08-27,TRY,USD,0.0243643
2025-08-28,TRY,USD,0.0243552
2025-08-29,TRY,USD,0.0243136
2025-08-30,TRY,USD,0.0242999
2025-08-31,TRY,USD,0.0242999
2025-09-01,TRY,USD,0.0243149
2025-09-02,TRY,USD,0.0243036
2025-09-03,TRY,USD,0.0242924
2025-09-04,TRY,USD,0.0242875
2025-09-05,TRY,USD,0.0242514
2025-09-06,TRY,USD,0.0242387
2025-09-07,TRY,USD,0.0242387
2025-09-08,TRY,USD,0.0242341
2025-09-09,TRY,USD,0.0242283
2025-09-10,TRY,USD,0.0242222
2025-09-11,TRY,USD,0.0242166
2025-09-12,TRY,USD,0.0241821
2025-09-13,TRY,USD,0.0241707
2025-09-14,TRY,USD,0.0241707
2025-09-15,TRY,USD,0.0242006
2025-09-16,TRY,USD,0.0242181
2025-09-17,TRY,USD,0.0242202
2025-09-18,TRY,USD,0.0242091
2025-09-19,TRY,USD,0.0241765
2025-09-20,TRY,USD,0.0241727
2025-09-21,TRY,USD,0.0241727
2025-09-22,TRY,USD,0.02417
2025-09-23,TRY,USD,0.0241527
2025-09-24,TRY,USD,0.0241266
2025-09-25,TRY,USD,0.0241106
2025-09-26,TRY,USD,0.0240678
2025-09-27,TRY,USD,0.0240548
2025-09-28,TRY,USD,0.0240548
2025-09-29,TRY,USD,0.0240509
2025-09-30,TRY,USD,0.0240476
2025-10-01,TRY,USD,0.0240454
2025-10-02,TRY,USD,0.0240361
2025-10-03,TRY,USD,0.0239994
2025-10-04,TRY,USD,0.0239889
2025-10-05,TRY,USD,0.0239889
2025-10-06,TRY,USD,0.0239845
2025-10-07,TRY,USD,0.0239787
2025-10-08,TRY,USD,0.0239727
2025-10-09,TRY,USD,0.0239605
2025-10-10,TRY,USD,0.02392
2025-10-11,TRY,USD,0.0239078
2025-10-12,TRY,USD,0.0239078
2025-10-13,TRY,USD,0.0239172
2025-10-14,TRY,USD,0.0239093
2025-10-15,TRY,USD,0.0239004
2025-10-16,TRY,USD,0.0238926
2025-10-17,TRY,USD,0.0238501
2025-10-18,TRY,USD,0.0238368
2025-10-19,TRY,USD,0.0238368
2025-10-20,TRY,USD,0.0238335
2025-10-21,TRY,USD,0.0238279
2025-10-22,TRY,USD,0.0238227
2025-10-23,TRY,USD,0.0238171
2025-10-24,TRY,USD,0.0238231
2025-10-25,TRY,USD,0.0238386
