date,base,quote,rate
2025-06-22,USD,CHF,0.817736
2025-06-23,USD,CHF,0.81571
2025-06-24,USD,CHF,0.808411
2025-06-25,USD,CHF,0.805268
2025-06-26,USD,CHF,0.801043
2025-06-27,USD,CHF,0.79947
2025-06-28,USD,CHF,0.79872
2025-06-29,USD,CHF,0.798689
2025-06-30,USD,CHF,0.79628
2025-07-01,USD,CHF,0.791248
2025-07-02,USD,CHF,0.791879
2025-07-03,USD,CHF,0.793499
2025-07-04,USD,CHF,0.79361
2025-07-05,USD,CHF,0.79347
2025-07-06,USD,CHF,0.793549
2025-07-07,USD,CHF,0.796516
2025-07-08,USD,CHF,0.796667
2025-07-09,USD,CHF,0.795664
2025-07-10,USD,CHF,0.795397
2025-07-11,USD,CHF,0.796756
2025-07-12,USD,CHF,0.79639
2025-07-13,USD,CHF,0.796443
2025-07-14,USD,CHF,0.797106
2025-07-15,USD,CHF,0.798658
2025-07-16,USD,CHF,0.801488
2025-07-17,USD,CHF,0.803789
2025-07-18,USD,CHF,0.801647
2025-07-19,USD,CHF,0.80153
2025-07-20,USD,CHF,0.801438
2025-07-21,USD,CHF,0.799505
2025-07-22,USD,CHF,0.795787
2025-07-23,USD,CHF,0.793088
2025-07-24,USD,CHF,0.793814
2025-07-25,USD,CHF,0.795823
2025-07-26,USD,CHF,0.79466
2025-07-27,USD,CHF,0.794739
2025-07-28,USD,CHF,0.799831
2025-07-29,USD,CHF,0.805193
2025-07-30,USD,CHF,0.808404
2025-07-31,USD,CHF,0.812702
2025-08-01,USD,CHF,0.810173
2025-08-02,USD,CHF,0.80393
2025-08-03,USD,CHF,0.803917
2025-08-04,USD,CHF,0.807214
2025-08-05,USD,CHF,0.808582
2025-08-06,USD,CHF,0.806883
2025-08-07,USD,CHF,0.806449
2025-08-08,USD,CHF,0.807372
2025-08-09,USD,CHF,0.80752
2025-08-10,USD,CHF,0.80753
2025-08-11,USD,CHF,0.809944
2025-08-12,USD,CHF,0.809291
2025-08-13,USD,CHF,0.804954
2025-08-14,USD,CHF,0.806601
2025-08-15,USD,CHF,0.80617
2025-08-16,USD,CHF,0.80631
2025-08-17,USD,CHF,0.806312
2025-08-18,USD,CHF,0.806829
2025-08-19,USD,CHF,0.806741
2025-08-20,USD,CHF,0.806199
2025-08-21,USD,CHF,0.806585
2025-08-22,USD,CHF,0.805856
2025-08-23,USD,CHF,0.80109
2025-08-24,USD,CHF,0.801163
2025-08-25,USD,CHF,0.803566
2025-08-26,USD,CHF,0.804464
2025-08-27,USD,CHF,0.804202
2025-08-28,USD,CHF,0.801311
2025-08-29,USD,CHF,0.801177
2025-08-30,USD,CHF,0.8002
2025-08-31,USD,CHF,0.800203
2025-09-01,USD,CHF,0.800158
2025-09-02,USD,CHF,0.803341
2025-09-03,USD,CHF,0.804414
2025-09-04,USD,CHF,0.805151
2025-09-05,USD,CHF,0.80104
2025-09-06,USD,CHF,0.79783
2025-09-07,USD,CHF,0.797922
2025-09-08,USD,CHF,0.795325
2025-09-09,USD,CHF,0.794539
2025-09-10,USD,CHF,0.797817
2025-09-11,USD,CHF,0.7976
2025-09-12,USD,CHF,0.796607
2025-09-13,USD,CHF,0.79647
2025-09-14,USD,CHF,0.796453
2025-09-15,USD,CHF,0.795309
2025-09-16,USD,CHF,0.790009
2025-09-17,USD,CHF,0.787119
2025-09-18,USD,CHF,0.790696
2025-09-19,USD,CHF,0.794436
2025-09-20,USD,CHF,0.79507
2025-09-21,USD,CHF,0.795085
2025-09-22,USD,CHF,0.79425
2025-09-23,USD,CHF,0.791968
2025-09-24,USD,CHF,0.79391
2025-09-25,USD,CHF,0.797445
2025-09-26,USD,CHF,0.798797
2025-09-27,USD,CHF,0.79799
2025-09-28,USD,CHF,0.797919
2025-09-29,USD,CHF,0.796854
2025-09-30,USD,CHF,0.796603
2025-10-01,USD,CHF,0.796489
2025-10-02,USD,CHF,0.797008
2025-10-03,USD,CHF,0.796303
2025-10-04,USD,CHF,0.79495
2025-10-05,USD,CHF,0.795196
2025-10-06,USD,CHF,0.796326
2025-10-07,USD,CHF,0.797131
2025-10-08,USD,CHF,0.800973
2025-10-09,USD,CHF,0.803358
2025-10-10,USD,CHF,0.803776
2025-10-11,USD,CHF,0.79863
2025-10-12,USD,CHF,0.799017
2025-10-13,USD,CHF,0.803104
2025-10-14,USD,CHF,0.802639
2025-10-15,USD,CHF,0.798895
2025-10-16,USD,CHF,0.795017
2025-10-17,USD,CHF,0.791316
2025-10-18,USD,CHF,0.79341
2025-10-19,USD,CHF,0.793387
2025-10-20,USD,CHF,0.792517
2025-10-21,USD,CHF,0.794406
2025-10-22,USD,CHF,0.795931
2025-10-23,USD,CHF,0.796478
2025-10-24,USD,CHF,0.795582
2025-10-25,USD,CHF,0.79551
2025-10-26,USD,CHF,0.79559
2025-10-27,USD,CHF,0.795772
2025-10-28,USD,CHF,0.793786
2025-10-29,USD,CHF,0.796548
2025-10-30,USD,CHF,0.800413
2025-10-31,USD,CHF,0.802991
2025-11-01,USD,CHF,0.80434
2025-11-02,USD,CHF,0.804348
2025-11-03,USD,CHF,0.806508
2025-11-04,USD,CHF,0.809124
2025-11-05,USD,CHF,0.809996
2025-11-06,USD,CHF,0.80805
2025-11-07,USD,CHF,0.805956
2025-11-08,USD,CHF,0.80441
2025-11-09,USD,CHF,0.804541
2025-11-10,USD,CHF,0.805551
2025-11-11,USD,CHF,0.80211
2025-11-12,USD,CHF,0.798959
2025-11-13,USD,CHF,0.795303
2025-11-14,USD,CHF,0.792367
2025-11-15,USD,CHF,0.79359
2025-11-16,USD,CHF,0.793599
2025-11-17,USD,CHF,0.795217
2025-11-18,USD,CHF,0.796963
2025-11-19,USD,CHF,0.802361
2025-11-20,USD,CHF,0.806132
2025-11-21,USD,CHF,0.806404
2025-11-22,USD,CHF,0.80832
2025-11-23,USD,CHF,0.808321
2025-11-24,USD,CHF,0.808017
2025-11-25,USD,CHF,0.808275
2025-11-26,USD,CHF,0.805625
2025-11-27,USD,CHF,0.804609
2025-11-28,USD,CHF,0.804662
2025-11-29,USD,CHF,0.80338
2025-11-30,USD,CHF,0.803392
2025-12-01,USD,CHF,0.803336
2025-12-02,USD,CHF,0.804131
2025-12-03,USD,CHF,0.800751
2025-12-04,USD,CHF,0.801254
2025-12-05,USD,CHF,0.803634
