date,base,quote,rate
2025-06-22,USD,GBP,0.743477
2025-06-23,USD,GBP,0.743138
2025-06-24,USD,GBP,0.735364
2025-06-25,USD,GBP,0.733604
2025-06-26,USD,GBP,0.728525
2025-06-27,USD,GBP,0.72852
2025-06-28,USD,GBP,0.728661
2025-06-29,USD,GBP,0.728667
2025-06-30,USD,GBP,0.729116
2025-07-01,USD,GBP,0.727573
2025-07-02,USD,GBP,0.731079
2025-07-03,USD,GBP,0.73267
2025-07-04,USD,GBP,0.73225
2025-07-05,USD,GBP,0.732198
2025-07-06,USD,GBP,0.732202
2025-07-07,USD,GBP,0.73433
2025-07-08,USD,GBP,0.735232
2025-07-09,USD,GBP,0.73585
2025-07-10,USD,GBP,0.735863
2025-07-11,USD,GBP,0.739314
2025-07-12,USD,GBP,0.741076
2025-07-13,USD,GBP,0.741093
2025-07-14,USD,GBP,0.742768
2025-07-15,USD,GBP,0.745213
2025-07-16,USD,GBP,0.745983
2025-07-17,USD,GBP,0.746009
2025-07-18,USD,GBP,0.744492
2025-07-19,USD,GBP,0.745556
2025-07-20,USD,GBP,0.745512
2025-07-21,USD,GBP,0.74287
2025-07-22,USD,GBP,0.740819
2025-07-23,USD,GBP,0.738
2025-07-24,USD,GBP,0.738267
2025-07-25,USD,GBP,0.743
2025-07-26,USD,GBP,0.744153
2025-07-27,USD,GBP,0.74415
2025-07-28,USD,GBP,0.745958
2025-07-29,USD,GBP,0.749316
2025-07-30,USD,GBP,0.750829
2025-07-31,USD,GBP,0.755625
2025-08-01,USD,GBP,0.756148
2025-08-02,USD,GBP,0.753012
2025-08-03,USD,GBP,0.752981
2025-08-04,USD,GBP,0.752622
2025-08-05,USD,GBP,0.752412
2025-08-06,USD,GBP,0.750377
2025-08-07,USD,GBP,0.746311
2025-08-08,USD,GBP,0.743828
2025-08-09,USD,GBP,0.743141
2025-08-10,USD,GBP,0.7432
2025-08-11,USD,GBP,0.743956
2025-08-12,USD,GBP,0.742326
2025-08-13,USD,GBP,0.737925
2025-08-14,USD,GBP,0.737479
2025-08-15,USD,GBP,0.737776
2025-08-16,USD,GBP,0.737561
2025-08-17,USD,GBP,0.737539
2025-08-18,USD,GBP,0.738829
2025-08-19,USD,GBP,0.74056
2025-08-20,USD,GBP,0.742077
2025-08-21,USD,GBP,0.74394
2025-08-22,USD,GBP,0.742915
2025-08-23,USD,GBP,0.738863
2025-08-24,USD,GBP,0.738958
2025-08-25,USD,GBP,0.741167
2025-08-26,USD,GBP,0.742158
2025-08-27,USD,GBP,0.742502
2025-08-28,USD,GBP,0.740163
2025-08-29,USD,GBP,0.741059
2025-08-30,USD,GBP,0.740105
2025-08-31,USD,GBP,0.740135
2025-09-01,USD,GBP,0.738865
2025-09-02,USD,GBP,0.744409
2025-09-03,USD,GBP,0.745678
2025-09-04,USD,GBP,0.744325
2025-09-05,USD,GBP,0.741307
2025-09-06,USD,GBP,0.73999
2025-09-07,USD,GBP,0.740106
2025-09-08,USD,GBP,0.739305
2025-09-09,USD,GBP,0.73788
2025-09-10,USD,GBP,0.738755
2025-09-11,USD,GBP,0.73827
2025-09-12,USD,GBP,0.737591
2025-09-13,USD,GBP,0.737202
2025-09-14,USD,GBP,0.737232
2025-09-15,USD,GBP,0.735843
2025-09-16,USD,GBP,0.73322
2025-09-17,USD,GBP,0.732698
2025-09-18,USD,GBP,0.735692
2025-09-19,USD,GBP,0.740704
2025-09-20,USD,GBP,0.742115
2025-09-21,USD,GBP,0.742129
2025-09-22,USD,GBP,0.741028
2025-09-23,USD,GBP,0.739797
2025-09-24,USD,GBP,0.742212
2025-09-25,USD,GBP,0.746084
2025-09-26,USD,GBP,0.747584
2025-09-27,USD,GBP,0.74589
2025-09-28,USD,GBP,0.745888
2025-09-29,USD,GBP,0.744358
2025-09-30,USD,GBP,0.743885
2025-10-01,USD,GBP,0.742216
2025-10-02,USD,GBP,0.742747
2025-10-03,USD,GBP,0.742926
2025-10-04,USD,GBP,0.741609
2025-10-05,USD,GBP,0.741904
2025-10-06,USD,GBP,0.743047
2025-10-07,USD,GBP,0.743889
