date,base,quote,rate
2025-06-22,USD,INR,86.4975
2025-06-23,USD,INR,86.6248
2025-06-24,USD,INR,86.0386
2025-06-25,USD,INR,85.9895
2025-06-26,USD,INR,85.7291
2025-06-27,USD,INR,85.5009
2025-06-28,USD,INR,85.4034
2025-06-29,USD,INR,85.4121
2025-06-30,USD,INR,85.6245
2025-07-01,USD,INR,85.5866
2025-07-02,USD,INR,85.6321
2025-07-03,USD,INR,85.4354
2025-07-04,USD,INR,85.3771
2025-07-05,USD,INR,84.9778
2025-07-06,USD,INR,84.9847
2025-07-07,USD,INR,85.7872
2025-07-08,USD,INR,85.7266
2025-07-09,USD,INR,85.7279
2025-07-10,USD,INR,85.6791
2025-07-11,USD,INR,85.81
2025-07-12,USD,INR,85.8242
2025-07-13,USD,INR,85.8241
2025-07-14,USD,INR,85.8943
2025-07-15,USD,INR,85.9026
2025-07-16,USD,INR,85.9118
2025-07-17,USD,INR,85.9926
2025-07-18,USD,INR,86.1227
2025-07-19,USD,INR,86.1476
2025-07-20,USD,INR,86.1478
2025-07-21,USD,INR,86.234
2025-07-22,USD,INR,86.3207
2025-07-23,USD,INR,86.3734
2025-07-24,USD,INR,86.3838
2025-07-25,USD,INR,86.5041
2025-07-26,USD,INR,86.5078
2025-07-27,USD,INR,86.5077
2025-07-28,USD,INR,86.6309
2025-07-29,USD,INR,86.9165
2025-07-30,USD,INR,87.4303
2025-07-31,USD,INR,87.5702
2025-08-01,USD,INR,87.3419
2025-08-02,USD,INR,87.1821
2025-08-03,USD,INR,87.184
2025-08-04,USD,INR,87.6223
2025-08-05,USD,INR,87.8113
2025-08-06,USD,INR,87.7199
2025-08-07,USD,INR,87.5639
2025-08-08,USD,INR,87.5872
2025-08-09,USD,INR,87.6642
2025-08-10,USD,INR,87.6496
2025-08-11,USD,INR,87.6188
2025-08-12,USD,INR,87.6348
2025-08-13,USD,INR,87.5122
2025-08-14,USD,INR,87.5743
2025-08-15,USD,INR,87.5373
2025-08-16,USD,INR,87.5084
2025-08-17,USD,INR,87.5095
2025-08-18,USD,INR,87.37
2025-08-19,USD,INR,87.1097
2025-08-20,USD,INR,87.0492
2025-08-21,USD,INR,87.1733
2025-08-22,USD,INR,87.3765
2025-08-23,USD,INR,87.346
2025-08-24,USD,INR,87.3449
2025-08-25,USD,INR,87.5095
2025-08-26,USD,INR,87.6519
2025-08-27,USD,INR,87.7109
2025-08-28,USD,INR,87.5992
2025-08-29,USD,INR,88.0252
2025-08-30,USD,INR,88.145
2025-08-31,USD,INR,88.1494
2025-09-01,USD,INR,88.1114
2025-09-02,USD,INR,88.0552
2025-09-03,USD,INR,88.0592
2025-09-04,USD,INR,88.1452
2025-09-05,USD,INR,88.1777
2025-09-06,USD,INR,88.1864
2025-09-07,USD,INR,88.1857
2025-09-08,USD,INR,88.0243
2025-09-09,USD,INR,88.1393
2025-09-10,USD,INR,88.0996
2025-09-11,USD,INR,88.2765
2025-09-12,USD,INR,88.2889
2025-09-13,USD,INR,88.2763
2025-09-14,USD,INR,88.273
2025-09-15,USD,INR,88.178
2025-09-16,USD,INR,88.0156
2025-09-17,USD,INR,87.8149
2025-09-18,USD,INR,88.1016
2025-09-19,USD,INR,88.1478
2025-09-20,USD,INR,88.0982
2025-09-21,USD,INR,88.098
2025-09-22,USD,INR,88.2465
2025-09-23,USD,INR,88.6766
2025-09-24,USD,INR,88.7452
2025-09-25,USD,INR,88.7149
2025-09-26,USD,INR,88.6909
2025-09-27,USD,INR,88.6595
2025-09-28,USD,INR,88.6561
2025-09-29,USD,INR,88.7083
2025-09-30,USD,INR,88.7963
2025-10-01,USD,INR,88.7017
2025-10-02,USD,INR,88.7261
2025-10-03,USD,INR,88.7483
2025-10-04,USD,INR,88.7362
2025-10-05,USD,INR,88.7287
2025-10-06,USD,INR,88.744
2025-10-07,USD,INR,88.7376
2025-10-08,USD,INR,88.7664
2025-10-09,USD,INR,88.8087
2025-10-10,USD,INR,88.7134
2025-10-11,USD,INR,88.7571
2025-10-12,USD,INR,88.7504
2025-10-13,USD,INR,88.6827
2025-10-14,USD,INR,88.7643
2025-10-15,USD,INR,88.1548
2025-10-16,USD,INR,87.8944
2025-10-17,USD,INR,87.961
2025-10-18,USD,INR,87.9936
2025-10-19,USD,INR,87.9899
2025-10-20,USD,INR,87.8984
2025-10-21,USD,INR,87.9811
2025-10-22,USD,INR,87.7458
2025-10-23,USD,INR,87.8289
2025-10-24,USD,INR,87.7872
2025-10-25,USD,INR,87.8019
2025-10-26,USD,INR,87.8051
2025-10-27,USD,INR,88.1198
2025-10-28,USD,INR,88.2526
2025-10-29,USD,INR,88.2245
2025-10-30,USD,INR,88.5696
2025-10-31,USD,INR,88.6901
2025-11-01,USD,INR,88.5228
2025-11-02,USD,INR,88.5428
2025-11-03,USD,INR,88.7465
2025-11-04,USD,INR,88.6798
2025-11-05,USD,INR,88.6452
2025-11-06,USD,INR,88.6226
2025-11-07,USD,INR,88.667
2025-11-08,USD,INR,88.6272
2025-11-09,USD,INR,88.6249
2025-11-10,USD,INR,88.6827
2025-11-11,USD,INR,88.548
2025-11-12,USD,INR,88.5945
2025-11-13,USD,INR,88.7134
2025-11-14,USD,INR,88.7101
2025-11-15,USD,INR,88.6586
2025-11-16,USD,INR,88.6525
2025-11-17,USD,INR,88.6271
2025-11-18,USD,INR,88.5771
2025-11-19,USD,INR,88.5035
2025-11-20,USD,INR,88.6674
2025-11-21,USD,INR,89.2397
2025-11-22,USD,INR,89.6085
2025-11-23,USD,INR,89.6009
2025-11-24,USD,INR,89.212
2025-11-25,USD,INR,89.1548
2025-11-26,USD,INR,89.204
2025-11-27,USD,INR,89.301
2025-11-28,USD,INR,89.4013
2025-11-29,USD,INR,89.3476
2025-11-30,USD,INR,89.3412
2025-12-01,USD,INR,89.5435
2025-12-02,USD,INR,89.8554
2025-12-03,USD,INR,90.1259
2025-12-04,USD,INR,89.9858
2025-12-05,USD,INR,89.9271
2025-12-06,USD,INR,89.898
2025-12-07,USD,INR,89.8964
2025-12-08,USD,INR,90.0852
2025-12-09,USD,INR,89.9265
2025-12-10,USD,INR,89.8893
2025-12-11,USD,INR,90.1927
2025-12-12,USD,INR,90.4532
2025-12-13,USD,INR,90.5405
2025-12-14,USD,INR,90.5349
2025-12-15,USD,INR,90.6758
2025-12-16,USD,INR,90.9034
2025-12-17,USD,INR,90.472
2025-12-18,USD,INR,90.2506
