date,base,quote,rate
2025-06-22,USD,RUB,78.3931
2025-06-23,USD,RUB,78.2589
2025-06-24,USD,RUB,78.4475
2025-06-25,USD,RUB,78.262
2025-06-26,USD,RUB,78.4766
2025-06-27,USD,RUB,78.5857
2025-06-28,USD,RUB,78.4923
2025-06-29,USD,RUB,78.4367
2025-06-30,USD,RUB,78.1638
2025-07-01,USD,RUB,78.3644
2025-07-02,USD,RUB,78.7154
2025-07-03,USD,RUB,78.9435
2025-07-04,USD,RUB,78.924
2025-07-05,USD,RUB,78.7507
2025-07-06,USD,RUB,78.6949
2025-07-07,USD,RUB,78.5253
2025-07-08,USD,RUB,78.4333
2025-07-09,USD,RUB,78.2381
2025-07-10,USD,RUB,77.1694
2025-07-11,USD,RUB,77.8493
2025-07-12,USD,RUB,77.9974
2025-07-13,USD,RUB,77.9498
2025-07-14,USD,RUB,77.9841
2025-07-15,USD,RUB,78.0136
2025-07-16,USD,RUB,78.1602
2025-07-17,USD,RUB,78.117
2025-07-18,USD,RUB,78.2935
2025-07-19,USD,RUB,78.4989
2025-07-20,USD,RUB,78.4459
2025-07-21,USD,RUB,78.1048
2025-07-22,USD,RUB,78.3114
2025-07-23,USD,RUB,78.4401
2025-07-24,USD,RUB,78.9682
2025-07-25,USD,RUB,79.4225
2025-07-26,USD,RUB,79.3497
2025-07-27,USD,RUB,79.2742
2025-07-28,USD,RUB,80.129
2025-07-29,USD,RUB,81.6137
2025-07-30,USD,RUB,81.2538
2025-07-31,USD,RUB,80.6885
2025-08-01,USD,RUB,80.3532
2025-08-02,USD,RUB,79.9981
2025-08-03,USD,RUB,79.8733
2025-08-04,USD,RUB,79.6913
2025-08-05,USD,RUB,79.9358
2025-08-06,USD,RUB,80.0433
2025-08-07,USD,RUB,79.4522
2025-08-08,USD,RUB,79.6454
2025-08-09,USD,RUB,79.9986
2025-08-10,USD,RUB,79.8624
2025-08-11,USD,RUB,79.4014
2025-08-12,USD,RUB,79.5896
2025-08-13,USD,RUB,79.5178
2025-08-14,USD,RUB,79.6478
2025-08-15,USD,RUB,79.985
2025-08-16,USD,RUB,80.1201
2025-08-17,USD,RUB,80.0281
2025-08-18,USD,RUB,80.0451
2025-08-19,USD,RUB,80.6138
2025-08-20,USD,RUB,80.4819
2025-08-21,USD,RUB,80.4945
2025-08-22,USD,RUB,80.5308
2025-08-23,USD,RUB,80.5474
2025-08-24,USD,RUB,80.361
2025-08-25,USD,RUB,80.1989
2025-08-26,USD,RUB,80.4799
2025-08-27,USD,RUB,80.3475
2025-08-28,USD,RUB,80.3936
2025-08-29,USD,RUB,80.3776
2025-08-30,USD,RUB,80.0583
2025-08-31,USD,RUB,79.9749
2025-09-01,USD,RUB,80.242
2025-09-02,USD,RUB,80.5532
2025-09-03,USD,RUB,80.7903
2025-09-04,USD,RUB,81.1599
2025-09-05,USD,RUB,81.2825
2025-09-06,USD,RUB,81.2359
2025-09-07,USD,RUB,81.2373
2025-09-08,USD,RUB,81.9492
2025-09-09,USD,RUB,83.2415
2025-09-10,USD,RUB,84.3272
2025-09-11,USD,RUB,84.6821
2025-09-12,USD,RUB,84.1037
2025-09-13,USD,RUB,83.9983
2025-09-14,USD,RUB,83.8945
2025-09-15,USD,RUB,82.7275
2025-09-16,USD,RUB,82.9608
2025-09-17,USD,RUB,83.4429
