date,base,quote,rate
2025-06-21,AED,AED,1.0
2025-06-21,AED,CHF,0.222656
2025-06-21,AED,CNY,1.9558
2025-06-21,AED,EUR,0.236289
2025-06-21,AED,GBP,0.202378
2025-06-21,AED,HKD,2.1373
2025-06-21,AED,INR,23.5521
2025-06-21,AED,KZT,141.422
2025-06-21,AED,RUB,21.3692
2025-06-21,AED,USD,0.272276
2025-06-21,EUR,AED,4.23036
2025-06-21,EUR,CHF,0.94238
2025-06-21,EUR,CNY,8.27557
2025-06-21,EUR,EUR,1.0
2025-06-21,EUR,GBP,0.85641
2025-06-21,EUR,HKD,9.04434
2025-06-21,EUR,INR,99.6558
2025-06-21,EUR,KZT,598.398
2025-06-21,EUR,RUB,90.4195
2025-06-21,EUR,USD,1.15208
2025-06-21,GBP,AED,4.93688
2025-06-21,GBP,CHF,1.10005
2025-06-21,GBP,CNY,9.65768
2025-06-21,GBP,EUR,1.16705
2025-06-21,GBP,GBP,1.0
2025-06-21,GBP,HKD,10.5539
2025-06-21,GBP,INR,116.299
2025-06-21,GBP,KZT,698.337
2025-06-21,GBP,RUB,105.521
2025-06-21,GBP,USD,1.34449
2025-06-21,HKD,AED,0.467754
2025-06-21,HKD,CHF,0.104171
2025-06-21,HKD,CNY,0.915036
2025-06-21,HKD,EUR,0.110526
2025-06-21,HKD,GBP,0.0946842
2025-06-21,HKD,HKD,1.0
2025-06-21,HKD,INR,11.019
2025-06-21,HKD,KZT,66.1652
2025-06-21,HKD,RUB,9.99774
2025-06-21,HKD,USD,0.127386
2025-06-21,USD,AED,3.67194
2025-06-21,USD,CHF,0.81776
2025-06-21,USD,CNY,7.18316
2025-06-21,USD,EUR,0.86783
2025-06-21,USD,GBP,0.743284
2025-06-21,USD,HKD,7.84977
2025-06-21,USD,INR,86.5008
2025-06-21,USD,KZT,519.406
2025-06-21,USD,RUB,78.4837
2025-06-21,USD,USD,1.0
2025-06-22,AED,AED,1.0
2025-06-22,AED,CHF,0.22265
2025-06-22,AED,CNY,1.9558
2025-06-22,AED,EUR,0.236377
2025-06-22,AED,GBP,0.202431
2025-06-22,AED,HKD,2.13728
2025-06-22,AED,INR,23.5512
2025-06-22,AED,KZT,141.422
2025-06-22,AED,RUB,21.3445
2025-06-22,AED,USD,0.272276
2025-06-22,EUR,AED,4.22874
2025-06-22,EUR,CHF,0.941963
2025-06-22,EUR,CNY,8.27239
2025-06-22,EUR,EUR,1.0
2025-06-22,EUR,GBP,0.856299
2025-06-22,EUR,HKD,9.04042
2025-06-22,EUR,INR,99.6139
2025-06-22,EUR,KZT,598.169
2025-06-22,EUR,RUB,90.2806
2025-06-22,EUR,USD,1.15164
2025-06-22,GBP,AED,4.93574
2025-06-22,GBP,CHF,1.09968
2025-06-22,GBP,CNY,9.65544
2025-06-22,GBP,EUR,1.1672
2025-06-22,GBP,GBP,1.0
2025-06-22,GBP,HKD,10.5514
2025-06-22,GBP,INR,116.268
2025-06-22,GBP,KZT,698.175
2025-06-22,GBP,RUB,105.374
2025-06-22,GBP,USD,1.34418
2025-06-22,HKD,AED,0.467756
2025-06-22,HKD,CHF,0.104169
2025-06-22,HKD,CNY,0.915037
2025-06-22,HKD,EUR,0.110573
2025-06-22,HKD,GBP,0.094709
2025-06-22,HKD,HKD,1.0
2025-06-22,HKD,INR,11.0186
2025-06-22,HKD,KZT,66.1654
2025-06-22,HKD,RUB,9.98624
2025-06-22,HKD,USD,0.127387
2025-06-22,USD,AED,3.67194
2025-06-22,USD,CHF,0.817736
2025-06-22,USD,CNY,7.18315
2025-06-22,USD,EUR,0.868153
2025-06-22,USD,GBP,0.743477
2025-06-22,USD,HKD,7.84968
2025-06-22,USD,INR,86.4975
2025-06-22,USD,KZT,519.406
2025-06-22,USD,RUB,78.3931
2025-06-22,USD,USD,1.0
2025-06-23,AED,AED,1.0
2025-06-23,AED,CHF,0.222087
2025-06-23,AED,CNY,1.9558
2025-06-23,AED,EUR,0.236327
2025-06-23,AED,GBP,0.202329
2025-06-23,AED,HKD,2.13719
2025-06-23,AED,INR,23.5847
